[COMPONENTS]
@C1:app_info,device,event_date,event_name,event_params,event_previous_timestamp,event_timestamp,geo,platform,stream_id,traffic_source,user_first_touch_timestamp,user_id,user_ltv,user_properties,user_pseudo_id
@C2:event_bundle_sequence_id,event_server_timestamp_offset

[TABLES]
Format: schema.table|components|columns
ANALYTICS_153293282.EVENTS_20180720|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180823|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180627|@C1|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180707|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180831|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180922|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180921|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180705|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180807|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180813|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180623|@C1|
ANALYTICS_153293282.EVENTS_20180615|@C1|
ANALYTICS_153293282.EVENTS_20180721|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180726|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180917|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180714|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180919|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180711|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20181001|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180908|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180911|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180727|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180703|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180920|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180620|@C1|
ANALYTICS_153293282.EVENTS_20180625|@C1|
ANALYTICS_153293282.EVENTS_20180801|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180913|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180909|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180715|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180618|@C1|
ANALYTICS_153293282.EVENTS_20180728|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180802|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180819|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180724|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180904|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180616|@C1|
ANALYTICS_153293282.EVENTS_20180901|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180812|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180804|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20181003|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180905|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180912|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20181002|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180713|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180827|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180621|@C1|
ANALYTICS_153293282.EVENTS_20180906|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180821|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180808|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180805|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180915|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180924|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180613|@C1|
ANALYTICS_153293282.EVENTS_20180902|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180914|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180709|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180617|@C1|
ANALYTICS_153293282.EVENTS_20180930|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180630|@C1|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180731|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180717|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180710|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180704|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180730|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180925|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180622|@C1|
ANALYTICS_153293282.EVENTS_20180910|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180719|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180619|@C1|
ANALYTICS_153293282.EVENTS_20180818|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180825|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180926|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180923|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180722|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180830|@C1,@C2|event_dimensions,event_value_in_usd
ANALYTICS_153293282.EVENTS_20180816|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180706|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180712|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180614|@C1|
ANALYTICS_153293282.EVENTS_20180626|@C1|
ANALYTICS_153293282.EVENTS_20180811|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180927|@C1,@C2|event_value_in_usd,event_dimensions
ANALYTICS_153293282.EVENTS_20180708|@C1,@C2|event_value_in_usd
ANALYTICS_153293282.EVENTS_20180725|@C1,@C2|event_value_in_usd
