[COMPONENTS]
@C1:channelGrouping,customDimensions,date,device,fullVisitorId,geoNetwork,hits,socialEngagementType,totals,trafficSource,userId,visitId,visitNumber,visitorId,visitStartTime

[TABLES]
Format: schema.table|components|columns
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170330|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161217|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160925|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161227|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161213|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170516|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170604|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170206|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170109|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170722|@C1|clientId
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160808|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161010|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161221|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170112|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170117|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170526|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160805|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170114|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170704|@C1|clientId
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170602|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170708|@C1|clientId
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170725|@C1|clientId
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160822|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160823|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170321|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160901|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170620|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161224|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170522|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161109|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170425|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161016|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170224|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20161130|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170622|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20170402|@C1|
GOOGLE_ANALYTICS_SAMPLE.GA_SESSIONS_20160908|@C1|
