[COMPONENTS]
@C1:count_dewp,count_slp,count_stp,count_temp,count_visib,count_wdsp,da,dewp,flag_max,flag_min,flag_prcp,fog,gust,hail,max,min,mo,mxpsd,prcp,rain_drizzle,slp,sndp,snow_ice_pellets,stn,stp,temp,thunder,tornado_funnel_cloud,visib,wdsp,year
@C2:dropoff_datetime,dropoff_latitude,dropoff_longitude,extra,fare_amount,imp_surcharge,mta_tax,passenger_count,pickup_latitude,pickup_longitude,rate_code,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,trip_distance,vendor_id
@C3:distance_between_service,ehail_fee,payment_type,time_between_service,trip_type
@C4:boro_ct,borocode,boroname,cb_num,cncldist,nta,nta_name,st_assem,st_senate,tree_dbh,zip_city,zipcode
@C5:latitude,longitude
@C6:dispatching_base_num,location_id,service_zone,zone
@C7:spc_common,spc_latin

[TABLES]
Format: schema.table|components|columns
NEW_YORK.CITIBIKE_TRIPS||start_station_name,start_station_id,gender,tripduration,end_station_name,stoptime,start_station_latitude,usertype,end_station_id,birth_year,starttime,end_station_longitude,start_station_longitude,end_station_latitude,bikeid
NEW_YORK.TLC_YELLOW_TRIPS_2009|@C2|payment_type,pickup_datetime
NEW_YORK.TLC_YELLOW_TRIPS_2015|@C2|payment_type,pickup_datetime
NEW_YORK.TLC_GREEN_TRIPS_2016|@C2,@C3|pickup_datetime
NEW_YORK.TLC_GREEN_TRIPS_2014|@C2,@C3|pickup_datetime
NEW_YORK.NYPD_MV_COLLISIONS|@C5|number_of_pedestrians_killed,borough,number_of_motorist_injured,number_of_pedestrians_injured,cross_street_name,contributing_factor_vehicle_5,number_of_cyclist_injured,contributing_factor_vehicle_4,vehicle_type_code2,contributing_factor_vehicle_2,location,number_of_cyclist_killed,vehicle_type_code_4,number_of_persons_killed,vehicle_type_code_3,vehicle_type_code1,unique_key,zip_code,vehicle_type_code_5,timestamp,contributing_factor_vehicle_1,number_of_persons_injured,on_street_name,number_of_motorist_killed,off_street_name,contributing_factor_vehicle_3
NEW_YORK.TREE_SPECIES||species_common_name,form,tree_size,growth_rate,location_tolerances,fall_color,environmental_tolerances,species_scientific_name,comments,notes_suggested_cultivars
NEW_YORK.TREE_CENSUS_2015|@C4,@C5,@C7|health,problems,root_other,y_sp,trunk_wire,tree_id,x_sp,stump_diam,block_id,state,brch_other,user_type,trnk_light,address,root_grate,brch_shoe,status,steward,guards,root_stone,sidewalk,created_at,curb_loc,trnk_other,brch_light
NEW_YORK.TLC_YELLOW_TRIPS_2010|@C2|payment_type,pickup_datetime
NEW_YORK.TLC_YELLOW_TRIPS_2013|@C2|pickup_datetime,payment_type
NEW_YORK.TREE_CENSUS_2005|@C4,@C7|sidw_raise,location_1,wire_other,pit_type,wire_2nd,vert_wall,inf_wires,inf_paving,inf_lights,vert_other,status,inf_guard,sidw_crack,soil_lvl,vert_tgrd,horz_other,inf_canopy,inf_other,horz_plant,trunk_dmg,tree_loc,objectid,wire_prime,inf_shoes,x_sp,objectid_1,vert_pgrd,wire_htap,y_sp,horz_grate,horz_blck,cen_year,inf_outlet
