[COMPONENTS]
@C1:count_dewp,count_slp,count_stp,count_temp,count_visib,count_wdsp,da,dewp,flag_max,flag_min,flag_prcp,fog,gust,hail,max,min,mo,mxpsd,prcp,rain_drizzle,slp,sndp,snow_ice_pellets,stn,stp,temp,thunder,tornado_funnel_cloud,visib,wdsp,year
@C2:cz_fips_code,cz_name,cz_type,damage_crops,damage_property,deaths_direct,deaths_indirect,episode_id,event_azimuth,event_begin_time,event_end_time,event_id,event_latitude,event_longitude,event_point,event_range,event_timezone,event_type,flood_cause,injuries_direct,injuries_indirect,location_index,magnitude,magnitude_type,reference_location,source,tor_f_scale,tor_length,tor_other_wfo,tor_width,wfo
@C3:adaptive_qc_flags,air_temperature,amt_pressure_tend,attm_count,box_system_indicator,callsign,characteristic_of_ppp,cloud_height,cloud_height_indicator,country_code,deck,dewpoint_temperature,dpt_indicator,dup_check,dup_status,external,high_cloud_type,hour,id_indicator,imma_version,indicator_for_temp,intermediate_reject_flag,landlocked_flag,latlong_indicator,low_cloud_type,lower_cloud_amount,middle_cloud_type,national_source_indicator,ncdc_qc_flags,nightday_flag,one_degree_box_number,past_weather,platform_type,present_weather,pressure_bias,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,sea_level_pressure,sea_surface_temp,second_country_code,ship_course,ship_speed,source_exclusion_flags,source_id,sst_measurement_method,swell_direction,swell_height,swell_period,swell_period_indicator,ten_degree_box_number,time_indicator,total_cloud_amount,track_check,trimming_flags,unique_report_id,visibility,visibility_indicator,wave_direction,wave_height,wave_period,wave_period_indicator,wbt_indicator,wetbulb_temperature,wind_direction_indicator,wind_direction_true,wind_speed,wind_speed_indicator
@C4:day,month,year
@C5:latitude,longitude
@C6:damage_description,damage_millions_dollars,deaths,deaths_description,houses_damaged,houses_damaged_description,houses_destroyed,houses_destroyed_description,id,injuries,injuries_description,location_name,region_code
@C7:file_name,funding_organization,platform_name,project_name,source_organization
@C8:comments,location,report_point,time
@C9:focal_depth,missing,missing_description,total_damage_description,total_deaths,total_deaths_description,total_houses_damaged,total_houses_damaged_description,total_houses_destroyed,total_houses_destroyed_description,total_injuries,total_injuries_description,total_missing,total_missing_description
@C10:area_land_meters,area_water_meters,int_point_lat,int_point_lon
@C11:array1,array2,array_end_local,array_end_utc,array_start_local,array_start_utc,hp1_ad,hp1_dist,hp2_ad,hp2_dist,hp3_ad,hp3_dist
@C12:bearing,distance,effort,effort_type,local_ship_date,sighting_local_time,species_id,total_best,total_high,total_low
@C13:area_land_meters,area_water_meters,internal_point_geom
@C14:acoustic_detection_number,beam_distance,beam_time_utc,detection_distance,first_angle,first_distance,species1_id,species2_id,species3_id
@C15:sensor_depth,start_date,start_time
@C16:cwa,fe_area,shape_geometry,shortname,state_zone,time_zone,zone
@C17:detection_time_end_utc,detection_time_start_local,detection_time_start_utc
@C18:local_time,utc_time
@C19:lat,lon
@C20:file_link,sample_rate,start_date,start_time
@C21:congress_session,district_fips_code,district_geom,functional_status
@C22:lat,lon,recording,sample_rate_hz
@C23:internal_point_lat,internal_point_lon
@C24:cloud_path,duration,sample_rate

[TABLES]
Format: schema.table|components|columns
NOAA_PIFSC_METADATA.DCLDE_2020_1705_MINKE_DETECTIONS|@C17,@C5|point
NOAA_PIFSC_METADATA.DCLDE_2020_SPECIES_LOOKUP||common_name,species_name,code
NOAA_PIFSC_METADATA.DCLDE_2020_1706_ODONTOCETE_DETECTIONS|@C14,@C17,@C5|sighting_number,point
NOAA_PIFSC_METADATA.DCLDE_2020_1705_VISUAL_SIGHTINGS|@C12,@C5|sighting_number,point
NOAA_PIFSC_METADATA.DCLDE_SETTE_GPS|@C18,@C5|speed,effort,point
NOAA_PIFSC_METADATA.DCLDE_LASKER_GPS|@C18,@C5|effort,speed
NOAA_PIFSC_METADATA.DCLDE_2020_1706_ARRAY|@C11|hp6_ad,hp6_dist,hp4_dist,hp4_ad,hp5_dist,hp5_ad
NOAA_PIFSC_METADATA.DCLDE_2020_DETECTION_README||field,description,table
NOAA_PIFSC_METADATA.DCLDE_2020_1705_ODONTOCETE_DETECTIONS|@C14,@C17,@C5|point,sighting_number
NOAA_PIFSC_METADATA.DCLDE_LASKER_ARRAY_DEPTH|@C18|end_depth,inline_depth
NOAA_PIFSC_METADATA.DCLDE_2020_1706_VISUAL_SIGHTINGS|@C12,@C5|point,sighting_number
NOAA_PIFSC_METADATA.DCLDE_2020_1705_ARRAY|@C11|hp6_ad,hp5_ad,hp6_dist,hp4_dist,hp5_dist,hp4_ad
NOAA_PIFSC_METADATA.DCLDE_SETTE_ARRAY_DEPTH|@C18|inline_depth,end_depth
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1976|@C2|state,state_fips_code
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1981|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_2004|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1966|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1985|@C2|state,state_fips_code
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1989|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1991|@C2|state,state_fips_code
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1972|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_2006|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_2005|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_2014|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1960|@C2|state,state_fips_code
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1998|@C2|state,state_fips_code
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1950|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1977|@C2|state_fips_code,state
NOAA_HISTORIC_SEVERE_STORMS.STORMS_1999|@C2|state,state_fips_code
NOAA_HISTORIC_SEVERE_STORMS.TORNADO_REPORTS|@C5,@C8|timestamp,state,f_scale,county
NOAA_HISTORIC_SEVERE_STORMS.STORMS_2020|@C2|state_fips_code,state
