[COMPONENTS]
@C1:count_dewp,count_slp,count_stp,count_temp,count_visib,count_wdsp,da,dewp,flag_max,flag_min,flag_prcp,fog,gust,hail,max,min,mo,mxpsd,prcp,rain_drizzle,slp,sndp,snow_ice_pellets,stn,stp,temp,thunder,tornado_funnel_cloud,visib,wdsp,year

[TABLES]
Format: schema.table|components|columns
NOAA_GSOD.GSOD1955|@C1|wban
NOAA_GSOD.GSOD1957|@C1|wban
NOAA_GSOD.GSOD2020|@C1|wban,date
NOAA_GSOD.GSOD1981|@C1|wban
NOAA_GSOD.STATIONS||elev,country,usaf,lon,call,wban,name,begin,state,end,lat
NOAA_GSOD.GSOD1978|@C1|wban
NOAA_GSOD.GSOD1931|@C1|wban
NOAA_GSOD.GSOD1961|@C1|wban
NOAA_GSOD.GSOD2007|@C1|wban
NOAA_GSOD.GSOD1998|@C1|wban
NOAA_GSOD.GSOD1943|@C1|wban
NOAA_GSOD.GSOD1963|@C1|wban
NOAA_GSOD.GSOD1977|@C1|wban
NOAA_GSOD.GSOD1979|@C1|wban
NOAA_GSOD.GSOD2013|@C1|wban
NOAA_GSOD.GSOD1990|@C1|wban
NOAA_GSOD.GSOD1965|@C1|wban
NOAA_GSOD.GSOD1997|@C1|wban
NOAA_GSOD.GSOD1995|@C1|wban
NOAA_GSOD.GSOD1982|@C1|wban
NOAA_GSOD.GSOD1973|@C1|wban
NOAA_GSOD.GSOD1947|@C1|wban
NOAA_GSOD.GSOD1964|@C1|wban
NOAA_GSOD.GSOD1994|@C1|wban
NOAA_GSOD.GSOD1941|@C1|wban
NOAA_GSOD.GSOD2016|@C1|wban
NOAA_GSOD.GSOD1936|@C1|wban
NOAA_GSOD.GSOD1987|@C1|wban
NOAA_GSOD.GSOD1953|@C1|wban
NOAA_GSOD.GSOD1939|@C1|wban
NOAA_GSOD.GSOD1937|@C1|wban
NOAA_GSOD.GSOD1945|@C1|wban
NOAA_GSOD.GSOD1954|@C1|wban
NOAA_GSOD.GSOD1968|@C1|wban
NOAA_GSOD.GSOD2001|@C1|wban
NOAA_GSOD.GSOD1967|@C1|wban
NOAA_GSOD.GSOD1966|@C1|wban
NOAA_GSOD.GSOD2008|@C1|wban
NOAA_GSOD.GSOD2005|@C1|wban
NOAA_GSOD.GSOD1958|@C1|wban
NOAA_GSOD.GSOD1952|@C1|wban
NOAA_GSOD.GSOD2000|@C1|wban
NOAA_GSOD.GSOD1950|@C1|wban
NOAA_GSOD.GSOD1984|@C1|wban
NOAA_GSOD.GSOD1946|@C1|wban
NOAA_GSOD.GSOD1999|@C1|wban
NOAA_GSOD.GSOD1971|@C1|wban
NOAA_GSOD.GSOD2022|@C1|wban,date
NOAA_GSOD.GSOD1988|@C1|wban
NOAA_GSOD.GSOD1993|@C1|wban
NOAA_GSOD.GSOD2018|@C1|wban
NOAA_GSOD.GSOD1996|@C1|wban
NOAA_GSOD.GSOD1944|@C1|wban
NOAA_GSOD.GSOD1975|@C1|wban
NOAA_GSOD.GSOD1972|@C1|wban
NOAA_GSOD.GSOD2014|@C1|wban
NOAA_GSOD.GSOD1989|@C1|wban
NOAA_GSOD.GSOD1986|@C1|wban
NOAA_GSOD.GSOD1929|@C1|wban
NOAA_GSOD.GSOD1948|@C1|wban
NOAA_GSOD.GSOD1932|@C1|wban
NOAA_GSOD.GSOD1956|@C1|wban
NOAA_GSOD.GSOD1974|@C1|wban
NOAA_GSOD.GSOD2006|@C1|wban
NOAA_GSOD.GSOD1980|@C1|wban
NOAA_GSOD.GSOD2010|@C1|wban
NOAA_GSOD.GSOD1992|@C1|wban
NOAA_GSOD.GSOD2002|@C1|wban
NOAA_GSOD.GSOD2003|@C1|wban
NOAA_GSOD.GSOD2009|@C1|wban
NOAA_GSOD.GSOD1960|@C1|wban
NOAA_GSOD.GSOD2024|@C1|wban,date
NOAA_GSOD.GSOD1942|@C1|wban
NOAA_GSOD.GSOD1934|@C1|wban
NOAA_GSOD.GSOD1940|@C1|wban
NOAA_GSOD.GSOD2012|@C1|wban
NOAA_GSOD.GSOD1962|@C1|wban
NOAA_GSOD.GSOD1976|@C1|wban
NOAA_GSOD.GSOD2017|@C1|wban
NOAA_GSOD.GSOD1970|@C1|wban
NOAA_GSOD.GSOD1985|@C1|wban
NOAA_GSOD.GSOD1959|@C1|wban
NOAA_GSOD.GSOD1983|@C1|wban
NOAA_GSOD.GSOD2019|@C1|wban
NOAA_GSOD.GSOD1938|@C1|wban
NOAA_GSOD.GSOD1991|@C1|wban
NOAA_GSOD.GSOD1935|@C1|wban
NOAA_GSOD.GSOD2004|@C1|wban
NOAA_GSOD.GSOD2021|@C1|wban,date
NOAA_GSOD.GSOD2015|@C1|wban
NOAA_GSOD.GSOD2011|@C1|wban
NOAA_GSOD.GSOD1933|@C1|wban
NOAA_GSOD.GSOD1951|@C1|wban
NOAA_GSOD.GSOD1969|@C1|wban
NOAA_GSOD.GSOD1930|@C1|wban
NOAA_GSOD.GSOD2023|@C1|wban,date
NOAA_GSOD.GSOD1949|@C1|wban
