[COMPONENTS]
@C1:app_id,page_no

[TABLES]
Format: schema.table|components|columns
ORACLE_SQL.WEB_PAGES|@C1|friendly_url
ORACLE_SQL.GENDER_DIM||name,letter
ORACLE_SQL.WEB_DEVICES||phone,day,tablet,pc
ORACLE_SQL.CUSTOMER_REVIEWS||customer_id,review_list
ORACLE_SQL.PACKAGING_RELATIONS||qty,packaging_id,contains_id
ORACLE_SQL.PRODUCT_MINIMUMS||qty_purchase,qty_minimum,product_id
ORACLE_SQL.EMPLOYEES||id,title,name,supervisor_id
ORACLE_SQL.PRODUCT_ALCOHOL||abv,product_id,sales_volume
ORACLE_SQL.WEB_APPS||id,name
ORACLE_SQL.PRODUCTS||id,group_id,name
ORACLE_SQL.PRODUCT_GROUPS||id,name
ORACLE_SQL.CUSTOMER_FAVORITES||customer_id,favorite_list
ORACLE_SQL.ORDERS||delivery,id,ordered,customer_id
ORACLE_SQL.BREWERIES||id,name
ORACLE_SQL.EMP_HIRE_PERIODS||end_,start_,title,emp_id
ORACLE_SQL.ID_NAME_TYPE||name,id
ORACLE_SQL.MONTHLY_BUDGET||mth,product_id,qty
ORACLE_SQL.ORDERLINES||order_id,qty,product_id,amount,id
ORACLE_SQL.PICKING_LINE||picklist_id,qty,product_id,line_no,order_id,location_id
ORACLE_SQL.CUSTOMERS||name,id
ORACLE_SQL.ID_NAME_COLL_TYPE||collection_id
ORACLE_SQL.INVENTORY||location_id,product_id,purchase_id,id,qty
ORACLE_SQL.PICKING_LOG||log_time,pickline_no,picklist_id,activity,location_id
ORACLE_SQL.MONTHLY_SALES||mth,product_id,qty
ORACLE_SQL.STOCK||company,symbol
ORACLE_SQL.PURCHASES||product_id,purchased,cost,id,qty,brewery_id
ORACLE_SQL.WEB_PAGE_VISITS|@C1|client_ip,visit_time
ORACLE_SQL.FAVORITE_COLL_TYPE||id
ORACLE_SQL.TICKER||price,symbol,day
ORACLE_SQL.SERVER_HEARTBEAT||beat_time,server
ORACLE_SQL.PACKAGING||name,id
ORACLE_SQL.WEB_DEMOGRAPHICS||f_tw_qty,f_fb_qty,m_tw_cnt,m_tw_qty,f_fb_cnt,f_tw_cnt,m_fb_qty,day,m_fb_cnt
ORACLE_SQL.WEB_COUNTER_HIST|@C1|day,counter
ORACLE_SQL.ID_NAME_COLL_ENTRIES||collection_id,name,id
ORACLE_SQL.LOCATIONS||position,warehouse,aisle,id
ORACLE_SQL.CONWAY_GEN_ZERO||x,alive,y
ORACLE_SQL.PICKING_LIST||created,id,picker_emp_id
ORACLE_SQL.CHANNELS_DIM||name,id,shortcut
