[COMPONENTS]
@C1:coregistrant,date_fraction,dimension_hash,duration_fraction,footnote,footnote_length,iprx,num_dimensions,period_end_date
@C2:central_index_key,date_accepted,date_filed,ein,fiscal_period_focus,fiscal_year,fiscal_year_end,form,sic
@C3:MEASURE_TAG,VERSION
@C4:NUMBER_OF_QUARTERS,UNITS,VALUE

[TABLES]
Format: schema.table|components|columns
SEC_QUARTERLY_FINANCIALS.RENDERING||file_type,parentreport,menu_category,ultimate_parent_report,longname,report,roleuri,shortname,parentroleuri,submission_number
SEC_QUARTERLY_FINANCIALS.MEASURE_TAG|@C3|CREDIT_OR_DEBIT,DATATYPE,TAG_LABEL,I_OR_D,CUSTOM,ABSTRACT,DOC
SEC_QUARTERLY_FINANCIALS.PRESENTATION|@C3|rfile,presented_parenthetically,preferred_role,preferred_label,statement,negating,submission_number,report,line
SEC_QUARTERLY_FINANCIALS.DIMENSION||segments,segment_truncation,segments_hash
SEC_QUARTERLY_FINANCIALS.SIC_CODES||industry_title,ad_office,sic_code
SEC_QUARTERLY_FINANCIALS.TXT|@C1,@C3|num_quarters,context,language,escaped,value,source_length,submission_number,text_length,language_decimal
SEC_QUARTERLY_FINANCIALS.SUBMISSION|@C2|ba_street1,countryma,has_required_detail,date_changed,public_float_usd,stprma,submission_number,country_inc,stprba,ma_street1,ba_phone,state_province_inc,zipma,num_ciks,cityma,instance,ma_street2,zipba,additional_ciks,float_date,ba_street2,float_terms,cityba,well_known_seasoned_issuer,company_name,former_name,has_previous_report,filer_status,period,countryba,float_axis
SEC_QUARTERLY_FINANCIALS.NUMBERS|@C1,@C3,@C4|DECIMAL,COMPANY_NAME,SUBMISSION_NUMBER
SEC_QUARTERLY_FINANCIALS.CALCULATION||group,parent_tag,negative,child_version,child_tag,parent_version,arc,submission_number
SEC_QUARTERLY_FINANCIALS.QUICK_SUMMARY|@C2,@C3,@C4|submission_number,period_end_date,company_name
