[COMPONENTS]

[TABLES]
Format: schema.table|components|columns
CYBERSYN.IRS_ORIGIN_DESTINATION_MIGRATION_TIMESERIES||SUPPRESSED,FROM_GEO_ID,VARIABLE_NAME,TO_GEO_ID,UNIT,DATE,VALUE
CYBERSYN.POINT_OF_INTEREST_INDEX||CATEGORY_MAIN,POI_NAME,CATEGORY_ALTERNATE,POI_ID
CYBERSYN.US_REAL_ESTATE_TIMESERIES||GEO_ID,UNIT,VARIABLE_NAME,DATE,VALUE,VARIABLE
CYBERSYN.POINT_OF_INTEREST_ADDRESSES_RELATIONSHIPS||RELATIONSHIP_TYPE,POI_ID,RELATIONSHIP_START_DATE,RELATIONSHIP_END_DATE,ADDRESS_ID
CYBERSYN.FHFA_UNIFORM_APPRAISAL_TIMESERIES||UNIT,VARIABLE_NAME,GEO_ID,VARIABLE,SUPPRESSED,VALUE,DATE
CYBERSYN.GEOGRAPHY_RELATIONSHIPS||RELATED_GEO_NAME,RELATED_LEVEL,RELATED_GEO_ID,RELATIONSHIP_TYPE,GEO_ID,GEO_NAME,LEVEL
CYBERSYN.FHFA_MORTGAGE_PERFORMANCE_ATTRIBUTES||VARIABLE_GROUP,UNIT,FREQUENCY,VARIABLE,MARKET,VARIABLE_NAME
CYBERSYN.IRS_INDIVIDUAL_INCOME_ATTRIBUTES||VARIABLE_NAME,SEASONALLY_ADJUSTED,INCOME_BRACKET,UNIT,FREQUENCY,VARIABLE
CYBERSYN.US_REAL_ESTATE_ATTRIBUTES||SEASONALLY_ADJUSTED,MEASUREMENT_TYPE,UNIT,BUILDING_USE,MEASUREMENT_PERIOD,MEASURE,VARIABLE,VARIABLE_NAME,FREQUENCY
CYBERSYN.FHFA_HOUSE_PRICE_ATTRIBUTES||PROPERTY_CLASSIFICATION,VARIABLE_NAME,SEASONALLY_ADJUSTED,INDEX_TYPE,VARIABLE,FREQUENCY,UNIT
CYBERSYN.CYBERSYN_DATA_CATALOG||LICENSE_URL,DATA_SOURCE,TABLE_NAME_PROPER,CREATED_DATE,LISTING_NAME,LAST_UPDATED_TIMESTAMP,DESCRIPTION,TABLE_TYPE,SELECT_RELATED_TABLES,DOCUMENTATION_URL,SHORT_DESCRIPTION,DATA_SOURCE_URL,ENTITIES,LISTING_URL,TABLE_NAME
CYBERSYN.IRS_INDIVIDUAL_INCOME_TIMESERIES||SUPPRESSED,DATE,VARIABLE,VARIABLE_NAME,GEO_ID,UNIT,VALUE
