[TEMPLATES]
Format: Tn|col1,col2|schema1.table1;schema2.table2
T2|sample_id,aliquot_id,refseq_id,case_id,aliquot_submitter_id,protein_abundance_log2ratio,phosphorylation_sites,study_name,aliquot_run_metadata_id|CPTAC.QUANT_PHOSPHOPROTEOME_AML_EX_VIVO_DRUG_RESPONSE_COMBINATION_TREATMENT_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_AML_EX_VIVO_DRUG_RESPONSE_PRIMARY_COHORT_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_AML_EX_VIVO_DRUG_RESPONSE_SORAFENIB_TREATMENT_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_AML_GILTERITINIB_RESISTANCE_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_AML_GILTERITINIB_TIMECOURSE_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_AML_QUIZARTINIB_RESISTANCE_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_CCRCC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_GBM_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_HNSCC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_LSCC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_LUAD_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_PDA_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_UCEC_CONFIRMATORY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_CPTAC_UCEC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_PROSPECTIVE_BREAST_BI_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_PROSPECTIVE_COLON_PNNL_LUMOS_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_PROSPECTIVE_OVARIAN_PNNL_LUMOS_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_PTRC_HGSOC_FFPE_DISCOVERY_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_PTRC_HGSOC_FFPE_VALIDATION_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_PTRC_HGSOC_FROZEN_VALIDATION_PDC_CURRENT;CPTAC.QUANT_PHOSPHOPROTEOME_PTRC_TNBC_PDC_CURRENT
T6|aliquot_id,aliquot_submitter_id,refseq_id,study_name,sample_id,aliquot_run_metadata_id,acetylation_sites,protein_abundance_log2ratio,case_id|CPTAC.QUANT_ACETYLOME_CPTAC_GBM_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_ACETYLOME_CPTAC_LSCC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_ACETYLOME_CPTAC_LUAD_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_ACETYLOME_CPTAC_UCEC_CONFIRMATORY_STUDY_PDC_CURRENT;CPTAC.QUANT_ACETYLOME_CPTAC_UCEC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_ACETYLOME_PROSPECTIVE_BREAST_BI_PDC_CURRENT
T7|program_short_name,sample_type,program_name,file_format,sample_id,case_submitter_id,file_name,project_submitter_id,project_short_name,data_category,experiment_type,file_size,sample_submitter_id,access,file_id,case_id,instrument,file_type,file_location|CPTAC.PER_SAMPLE_FILE_METADATA_CPTAC2_OTHER_PDC_CURRENT;CPTAC.PER_SAMPLE_FILE_METADATA_CPTAC3_DISCOVERY_AND_CONFIRMATORY_PDC_CURRENT;CPTAC.PER_SAMPLE_FILE_METADATA_CPTAC3_OTHER_PDC_CURRENT;CPTAC.PER_SAMPLE_FILE_METADATA_CPTAC_2_PDC_CURRENT;CPTAC.PER_SAMPLE_FILE_METADATA_PROTEOGENOMIC_TRANSLATIONAL_RESEARCH_CENTERS_PDC_CURRENT
T12|age_at_diagnosis,cause_of_death,days_to_death,year_of_birth,diagnosis_is_primary_disease,diagnosis_submitter_id,year_of_death,gender,tumor_focality,morphology,ajcc_pathologic_n,ajcc_clinical_m,days_to_recurrence,case_submitter_id,vital_status,disease_type,tissue_or_organ_of_origin,days_to_last_known_disease_status,days_to_last_follow_up,primary_site,race,last_known_disease_status,demographic_id,project_submitter_id,ajcc_pathologic_t,primary_diagnosis,year_of_diagnosis,progression_or_recurrence,ajcc_pathologic_stage,residual_disease,demographic_submitter_id,case_id,days_to_birth,ajcc_pathologic_m,tumor_grade,diagnosis_id,ajcc_staging_system_edition,site_of_resection_or_biopsy,ethnicity|CPTAC.CLINICAL_CPTAC3_OTHER_PDC_CURRENT
T26|authority,gene_symbol,locus,organism,NCBI_gene_id,chromosome,uniprotkb_ids,gene_description,proteins,gene_id,uniprotkb_id,assays,authority_gene_id|PDC_METADATA.GENE_INFO_CURRENT
T3|case_barcode,sample_barcode,primary_site,cross_mapped,sample_type_name,miRNA_id,case_gdc_id,reads_per_million_miRNA_mapped,file_gdc_id,sample_gdc_id,aliquot_barcode,read_count,aliquot_gdc_id,project_short_name|CPTAC.MIRNASEQ_HG38_GDC_CURRENT

[DERIVED]
Format: Tm<Tp|col1,col2|schema1.table1;schema2.table2
T1<T26|sample_id,aliquot_id,protein_abundance_log2ratio,study_name,aliquot_submitter_id,case_id,aliquot_run_metadata_id|CPTAC.QUANT_PROTEOME_AML_EX_VIVO_DRUG_RESPONSE_COMBINATION_TREATMENT_PDC_CURRENT;CPTAC.QUANT_PROTEOME_AML_EX_VIVO_DRUG_RESPONSE_PRIMARY_COHORT_PDC_CURRENT;CPTAC.QUANT_PROTEOME_AML_EX_VIVO_DRUG_RESPONSE_SORAFENIB_TREATMENT_PDC_CURRENT;CPTAC.QUANT_PROTEOME_AML_GILTERITINIB_RESISTANCE_PDC_CURRENT;CPTAC.QUANT_PROTEOME_AML_GILTERITINIB_TIMECOURSE_PDC_CURRENT;CPTAC.QUANT_PROTEOME_AML_QUIZARTINIB_RESISTANCE_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_CCRCC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_GBM_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_HNSCC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_LSCC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_LUAD_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_PDA_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_UCEC_CONFIRMATORY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_CPTAC_UCEC_DISCOVERY_STUDY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PROSPECTIVE_BREAST_BI_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PROSPECTIVE_COLON_PNNL_QEPLUS_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PROSPECTIVE_OVARIAN_JHU_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PROSPECTIVE_OVARIAN_PNNL_QEPLUS_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PTRC_HGSOC_FFPE_DISCOVERY_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PTRC_HGSOC_FFPE_VALIDATION_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PTRC_HGSOC_FROZEN_VALIDATION_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PTRC_TNBC_PDC_CURRENT;CPTAC.QUANT_PROTEOME_PTRC_TNBC_PDX_PDC_CURRENT
T20<T12|classification_of_tumor,metastasis_at_diagnosis_site,metastasis_at_diagnosis,lymphatic_invasion_present,age_at_index,sites_of_involvement,lymph_nodes_positive,prior_malignancy|CPTAC.CLINICAL_CPTAC3_DISCOVERY_AND_CONFIRMATORY_PDC_CURRENT
T8<T3|miRNA_accession,chromosome,miRNA_transcript,end_pos,start_pos,strand|CPTAC.MIRNASEQ_ISOFORM_HG38_GDC_CURRENT

[STANDALONE]
Format: schema.table|col1,col2
CPTAC.CLINICAL_CPTAC2_OTHER_PDC_CURRENT|disease_type,case_id,case_submitter_id,diagnosis_submitter_id,project_submitter_id,demographic_submitter_id,diagnosis_id,demographic_id
CPTAC.CLINICAL_CPTAC_2_PDC_CURRENT|diagnosis_id,gender,figo_stage,case_id,tumor_stage,days_to_last_follow_up,demographic_id,primary_diagnosis,tissue_or_organ_of_origin,days_to_last_known_disease_status,days_to_recurrence,ajcc_pathologic_stage,project_submitter_id,primary_site,prior_malignancy,morphology,ethnicity,demographic_submitter_id,disease_type,case_submitter_id,race,diagnosis_submitter_id,age_at_diagnosis
CPTAC.CLINICAL_DIAGNOSES_PROTEOGENOMIC_TRANSLATIONAL_RESEARCH_CENTERS_PDC_CURRENT|project_submitter_id,tumor_grade,morphology,days_to_last_follow_up,site_of_resection_or_biopsy,case_submitter_id,primary_diagnosis,diagnosis_id,age_at_diagnosis,progression_or_recurrence,diagnosis_submitter_id,last_known_disease_status,days_to_recurrence,tissue_or_organ_of_origin,classification_of_tumor,days_to_last_known_disease_status,tumor_stage,case_id
CPTAC.CLINICAL_DIAGNOSIS_PROTEOGENOMIC_TRANSLATIONAL_RESEARCH_CENTERS_PDC_CURRENT|days_to_last_follow_up,diagnosis_id,tumor_grade,project_submitter_id,classification_of_tumor,days_to_recurrence,progression_or_recurrence,site_of_resection_or_biopsy,case_id,age_at_diagnosis,case_submitter_id,last_known_disease_status,tumor_stage,days_to_last_known_disease_status,morphology,diagnosis_is_primary_disease,primary_diagnosis,diagnosis_submitter_id,tissue_or_organ_of_origin
CPTAC.CLINICAL_GDC_CURRENT|updated_datetime,diag__path__tumor_largest_dimension_diameter,follow__mol_test__molecular_test_id,diag__updated_datetime,diag__path__updated_datetime,demo__created_datetime,follow__follow_up_id,exp__years_smoked,lost_to_followup,demo__age_at_index,consent_type,follow__height,demo__cause_of_death,submitter_id,diag__created_datetime,disease_type,follow__pancreatitis_onset_year,diag__ajcc_pathologic_t,diag__path__lymph_nodes_positive,follow__mol_test__laboratory_test,follow__dlco_ref_predictive_percent,follow__updated_datetime,exp__exposure_type,created_datetime,follow__mol_test__test_result,demo__demographic_id,diag__tissue_or_organ_of_origin,follow__cdc_hiv_risk_factors,diag__tumor_grade,diag__morphology,exp__exposure_duration_years,demo__year_of_death,exp__tobacco_smoking_quit_year,follow__hormonal_contraceptive_use,follow__fev1_ref_pre_bronch_percent,diag__residual_disease,follow__ecog_performance_status,exp__type_of_tobacco_used,exp__state,demo__year_of_birth,diag__ajcc_pathologic_stage,diag__days_to_recurrence,demo__days_to_death,index_date,follow__disease_response,proj__name,exp__updated_datetime,diag__ajcc_staging_system_edition,follow__fev1_fvc_pre_bronch_percent,days_to_lost_to_followup,demo__race,diag__last_known_disease_status,case_id,demo__ethnicity,exp__secondhand_smoke_as_child,primary_site,state,diag__ajcc_pathologic_m,follow__comorbidity,diag__path__pathology_detail_id,diag__ajcc_clinical_m,diag__prior_malignancy,exp__exposure_id,demo__gender,diag__days_to_last_known_disease_status,follow__state,follow__mol_test__created_datetime,diag__classification_of_tumor,demo__state,diag__age_at_diagnosis,diag__days_to_last_follow_up,follow__created_datetime,exp__alcohol_history,diag__year_of_diagnosis,demo__vital_status,follow__fev1_ref_post_bronch_percent,proj__project_id,follow__aids_risk_factors,follow__mol_test__state,diag__figo_stage,diag__path__created_datetime,diag__diagnosis_id,follow__progression_or_recurrence,follow__bmi,exp__type_of_smoke_exposure,diag__site_of_resection_or_biopsy,demo__updated_datetime,exp__cigarettes_per_day,exp__created_datetime,diag__primary_diagnosis,days_to_consent,follow__weight,diag__ajcc_pathologic_n,follow__mol_test__gene_symbol,follow__days_to_follow_up,exp__tobacco_smoking_onset_year,exp__alcohol_intensity,diag__progression_or_recurrence,diag__path__state,follow__karnofsky_performance_status,diag__tumor_focality,follow__days_to_recurrence,follow__hpv_positive_type,diag__state,follow__fev1_fvc_post_bronch_percent,exp__tobacco_smoking_status,demo__days_to_birth,exp__pack_years_smoked,follow__diabetes_treatment_type,follow__mol_test__updated_datetime
CPTAC.CLINICAL_PROTEOGENOMIC_TRANSLATIONAL_RESEARCH_CENTERS_PDC_CURRENT|cause_of_death_source,demographic_id,days_to_birth,disease_type,cause_of_death,demographic_submitter_id,days_to_death,age_is_obfuscated,gender,vital_status,ethnicity,case_submitter_id,case_id,country_of_residence_at_enrollment,project_submitter_id,primary_site,age_at_index,race
CPTAC.COPY_NUMBER_GENE_LEVEL_HG38_GDC_CURRENT|primary_site,end_pos,start_pos,Ensembl_gene_id_v,case_gdc_id,aliquot_gdc_id,min_copy_number,case_barcode,aliquot_barcode,Ensembl_gene_id,sample_gdc_id,project_short_name,sample_barcode,file_gdc_id,max_copy_number,copy_number,gene_type,chromosome,gene_name
CPTAC.COPY_NUMBER_SEGMENT_HG38_GDC_CURRENT|copy_number,sample_barcode,sample_gdc_id,start_pos,file_gdc_id,major_copy_number,aliquot_barcode,end_pos,project_short_name,aliquot_gdc_id,chromosome,minor_copy_number,primary_site,case_gdc_id,case_barcode
CPTAC.MASKED_SOMATIC_MUTATION_HG38_GDC_CURRENT|Hugo_Symbol,ESP_AA_AF,gnomAD_non_cancer_NFE_AF,SIFT,Existing_variation,RNA_depth,Consequence,Mutation_Status,pindel,DOMAINS,Matched_Norm_Aliquot_Barcode,SWISSPROT,mutect2,callers,CONTEXT,muse,HGVS_OFFSET,Variant_Classification,gnomAD_non_cancer_SAS_AF,gnomAD_AMR_AF,MOTIF_SCORE_CHANGE,sample_barcode_tumor,t_alt_count,Tumor_Validation_Allele2,HGVSp_Short,HIGH_INF_POS,gnomAD_non_cancer_MAX_AF_POPS_adj,ThousG_EAS_AF,gnomAD_AFR_AF,Sequencer,aliquot_barcode_tumor,varscan2,PUBMED,TRANSCRIPT_STRAND,ThousG_AF,Verification_Status,n_alt_count,Transcript_ID,ThousG_EUR_AF,INTRON,Match_Norm_Seq_Allele2,Matched_Norm_Aliquot_UUID,cDNA_position,gnomAD_AF,Reference_Allele,gnomAD_non_cancer_EAS_AF,Strand,n_depth,gnomAD_non_cancer_MAX_AF_adj,aliquot_barcode_normal,Match_Norm_Validation_Allele2,DISTANCE,COSMIC,ThousG_AFR_AF,GENE_PHENO,Match_Norm_Validation_Allele1,t_ref_count,UNIPROT_ISOFORM,tumor_submitter_uuid,MANE,Validation_Method,Tumor_Aliquot_Barcode,Chromosome,dbSNP_RS,case_id,PHENO,Codons,TREMBL,gnomAD_ASJ_AF,Tumor_Seq_Allele2,MAX_AF,gnomAD_EAS_AF,Feature_type,Tumor_Validation_Allele1,BAM_File,normal_submitter_uuid,gnomAD_OTH_AF,Variant_Type,gnomAD_non_cancer_AFR_AF,Validation_Status,Protein_position,UNIPARC,SOMATIC,HGNC_ID,Entrez_Gene_Id,PICK,ThousG_AMR_AF,gnomAD_non_cancer_ASJ_AF,MOTIF_NAME,Tumor_Seq_Allele1,HGVSc,IMPACT,t_depth,gnomAD_FIN_AF,Match_Norm_Seq_Allele1,APPRIS,ENSP,gnomAD_non_cancer_OTH_AF,file_gdc_id,HGVSp,RNA_Support,Sequence_Source,SYMBOL,case_barcode,all_effects,Score,Start_Position,primary_site,Allele,CDS_position,ThousG_SAS_AF,VARIANT_CLASS,RNA_alt_count,RefSeq,One_Consequence,ESP_EA_AF,NCBI_Build,TSL,Amino_acids,MOTIF_POS,gnomAD_non_cancer_AF,Center,PolyPhen,BIOTYPE,gnomAD_non_cancer_AMI_AF,miRNA,gnomAD_non_cancer_FIN_AF,CCDS,n_ref_count,Feature,CANONICAL,sample_barcode_normal,Sequencing_Phase,TRANSCRIPTION_FACTORS,Gene,Tumor_Aliquot_UUID,CLIN_SIG,project_short_name,SYMBOL_SOURCE,gnomAD_non_cancer_MID_AF,hotspot,MAX_AF_POPS,dbSNP_Val_Status,gnomAD_SAS_AF,gnomAD_NFE_AF,EXON,FLAGS,GDC_FILTER,RNA_ref_count,End_Position,gnomAD_non_cancer_AMR_AF,Exon_Number
CPTAC.PER_SAMPLE_FILE_METADATA_HG38_GDC_CURRENT|index_file_id,index_file_name_key,case_barcode,access,experimental_strategy,file_type,project_short_name,sample_gdc_id,case_gdc_id,acl,platform,sample_barcode,data_format,file_name_key,data_type,file_gdc_id,data_category,program_name,sample_type_name,file_size,project_short_name_suffix,index_file_size
