[TEMPLATES]
Format: Tn|col1,col2|schema1.table1;schema2.table2
T1|merkle_root,timestamp_month,version,hash,timestamp,size,weight,transaction_count,number,bits,nonce,stripped_size,coinbase_param|CRYPTO_BITCOIN.BLOCKS;CRYPTO_BITCOIN_CASH.BLOCKS;CRYPTO_DASH.BLOCKS
T2|value,block_timestamp,type,script_asm,block_hash,addresses,index,required_signatures,transaction_hash,block_number,script_hex|CRYPTO_BITCOIN.OUTPUTS;CRYPTO_BITCOIN_CASH.OUTPUTS;CRYPTO_DASH.OUTPUTS
T3|input_count,inputs,block_timestamp_month,block_number,output_count,fee,hash,version,size,input_value,is_coinbase,lock_time,outputs,output_value,block_timestamp,block_hash,virtual_size|CRYPTO_BITCOIN.TRANSACTIONS;CRYPTO_BITCOIN_CASH.TRANSACTIONS;CRYPTO_DASH.TRANSACTIONS
T13|block_number,block_timestamp,block_hash,address,is_erc20,bytecode,is_erc721,function_sighashes|CRYPTO_ETHEREUM.CONTRACTS;CRYPTO_ETHEREUM_CLASSIC.CONTRACTS
T14|error,block_hash,subtraces,transaction_index,block_number,trace_address,transaction_hash,status,value,block_timestamp,reward_type,to_address,gas,trace_type,gas_used,output,input,call_type,trace_id,from_address|CRYPTO_ETHEREUM.TRACES;CRYPTO_ETHEREUM_CLASSIC.TRACES
T16|transaction_index,address,block_number,data,topics,transaction_hash,log_index,block_timestamp,block_hash|CRYPTO_ETHEREUM.LOGS;CRYPTO_ETHEREUM_CLASSIC.LOGS
T17|value,transaction_hash,to_address,from_address,block_hash,log_index,block_number,token_address,block_timestamp|CRYPTO_ETHEREUM.TOKEN_TRANSFERS;CRYPTO_ETHEREUM_CLASSIC.TOKEN_TRANSFERS
T25|state_root,extra_data,sha3_uncles,difficulty,receipts_root,gas_limit,total_difficulty,parent_hash,transaction_count,nonce,miner,logs_bloom,number,hash,gas_used,timestamp,size,transactions_root|CRYPTO_ETHEREUM_CLASSIC.BLOCKS
T26|hash,value,receipt_gas_used,to_address,transaction_index,input,block_number,block_hash,block_timestamp,gas_price,receipt_cumulative_gas_used,gas,from_address,receipt_status,nonce,receipt_root,receipt_contract_address|CRYPTO_ETHEREUM_CLASSIC.TRANSACTIONS

[DERIVED]
Format: Tm<Tp|col1,col2|schema1.table1;schema2.table2
T4<T2|spent_output_index,sequence,spent_transaction_hash|CRYPTO_BITCOIN.INPUTS;CRYPTO_BITCOIN_CASH.INPUTS;CRYPTO_DASH.INPUTS
T12<T25|excess_blob_gas,blob_gas_used,base_fee_per_gas,withdrawals,withdrawals_root|CRYPTO_ETHEREUM.BLOCKS
T15<T26|receipt_blob_gas_price,transaction_type,max_fee_per_gas,receipt_effective_gas_price,max_fee_per_blob_gas,blob_versioned_hashes,receipt_blob_gas_used,max_priority_fee_per_gas|CRYPTO_ETHEREUM.TRANSACTIONS

[STANDALONE]
Format: schema.table|col1,col2
CRYPTO_BAND.BLOCKS|signatures,block_hash,proposer_address,block_timestamp,block_height,consensus_hash,last_results_hash,data_hash,last_commit_hash,block_timestamp_truncated,evidence_hash,app_hash,validators_hash,next_validators_hash
CRYPTO_BAND.BLOCK_EVENTS|block_height,block_timestamp,event_type,block_timestamp_truncated,attributes,block_event_type
CRYPTO_BAND.ERRORS|tableRow,errors
CRYPTO_BAND.LOGS|msg_index,events,log_index,txhash,block_timestamp,block_height,log,block_timestamp_truncated
CRYPTO_BAND.MESSAGES|oracle_CreateOracleScript,cosmos_sdk_MsgVerifyInvariant,cosmos_sdk_MsgMultiSend,oracle_Report,cosmos_sdk_MsgUndelegate,cosmos_sdk_MsgSubmitProposal,cosmos_sdk_MsgVote,cosmos_sdk_MsgUnjail,block_timestamp,cosmos_sdk_MsgSend,cosmos_sdk_MsgModifyWithdrawAddress,cosmos_sdk_MsgDelegate,oracle_Request,cosmos_sdk_MsgWithdrawValidatorCommission,message_type,block_height,cosmos_sdk_MsgEditValidator,cosmos_sdk_MsgCreateValidator,cosmos_sdk_MsgFundCommunityPool,oracle_RemoveReporter,cosmos_sdk_MsgDeposit,cosmos_sdk_MsgWithdrawDelegationReward,cosmos_sdk_MsgBeginRedelegate,oracle_EditDataSource,oracle_CreateDataSource,cosmos_sdk_MsgSubmitEvidence,oracle_Activate,block_timestamp_truncated,txhash,oracle_EditOracleScript,oracle_AddReporter
CRYPTO_BAND.ORACLE_REQUESTS|reports,block_timestamp_truncated,oracle_request_id,request,block_height,oracle_script,decoded_result,block_timestamp,result
CRYPTO_BAND.TRANSACTIONS|gas_used,sender,block_timestamp_truncated,gas_wanted,memo,txhash,block_height,fee,transaction_type,block_timestamp
CRYPTO_ETHEREUM_CLASSIC.BALANCES|eth_balance,address
CRYPTO_ETHEREUM_CLASSIC.TOKENS|name,address,symbol,decimals,block_number,block_timestamp,total_supply,block_hash
CRYPTO_ZILLIQA.DS_BLOCKS|prev_hash,signature,number,difficulty_ds,ds_leader_pub_key,gas_price,timestamp,difficulty,ds_leader_address
CRYPTO_ZILLIQA.EVENT_LOGS|block_number,index,transaction_id,block_timestamp,event_name,address,params
CRYPTO_ZILLIQA.EXCEPTIONS|transaction_id,block_timestamp,block_number,line,index,message
CRYPTO_ZILLIQA.TRANSACTIONS|data,version,sender,gas_limit,id,signature,amount,accepted,block_timestamp,epoch_num,success,sender_pub_key,gas_price,code,block_number,cumulative_gas,to_addr
CRYPTO_ZILLIQA.TRANSITIONS|addr,recipient,transaction_id,accepted,tag,block_number,block_timestamp,depth,params,amount,index
CRYPTO_ZILLIQA.TX_BLOCKS|ds_block_number,timestamp,rewards,prev_block_hash,num_present_transactions,version,header_signature,state_delta_hash,num_micro_blocks,tx_leader_address,state_root_hash,gas_limit,tx_leader_pub_key,num_transactions,number,gas_used,mb_info_hash
