[STANDALONE]
Format: schema.table|col1,col2
ENTERTAINMENTAGENCY.AGENTS|AgentID,Salary,AgtPhoneNumber,DateHired,AgtLastName,AgtCity,AgtState,CommissionRate,AgtFirstName,AgtStreetAddress,AgtZipCode
ENTERTAINMENTAGENCY.CUSTOMERS|CustStreetAddress,CustState,CustZipCode,CustPhoneNumber,CustLastName,CustomerID,CustFirstName,CustCity
ENTERTAINMENTAGENCY.ENGAGEMENTS|CustomerID,StartTime,EndDate,ContractPrice,EntertainerID,StartDate,StopTime,EngagementNumber,AgentID
ENTERTAINMENTAGENCY.ENTERTAINERS|EntStreetAddress,EntZipCode,EntEMailAddress,EntState,EntWebPage,EntStageName,EntertainerID,DateEntered,EntSSN,EntCity,EntPhoneNumber
ENTERTAINMENTAGENCY.ENTERTAINER_MEMBERS|MemberID,Status,EntertainerID
ENTERTAINMENTAGENCY.ENTERTAINER_STYLES|EntertainerID,StyleStrength,StyleID
ENTERTAINMENTAGENCY.MEMBERS|MbrLastName,Gender,MbrPhoneNumber,MbrFirstName,MemberID
ENTERTAINMENTAGENCY.MUSICAL_PREFERENCES|CustomerID,StyleID,PreferenceSeq
ENTERTAINMENTAGENCY.MUSICAL_STYLES|StyleID,StyleName
ENTERTAINMENTAGENCY.ZTBLDAYS|DateField
ENTERTAINMENTAGENCY.ZTBLMONTHS|YearNumber,July,December,April,October,February,September,November,January,August,May,March,June,MonthYear,MonthEnd,MonthStart,MonthNumber
ENTERTAINMENTAGENCY.ZTBLSKIPLABELS|LabelCount
ENTERTAINMENTAGENCY.ZTBLWEEKS|WeekStart,WeekEnd
