[STANDALONE]
Format: schema.table|col1,col2
E_COMMERCE.CUSTOMERS|customer_city,customer_state,customer_id,customer_zip_code_prefix,customer_unique_id
E_COMMERCE.GEOLOCATION|geolocation_zip_code_prefix,geolocation_city,geolocation_lng,geolocation_state,geolocation_lat
E_COMMERCE.LEADS_CLOSED|business_type,has_gtin,average_stock,won_date,lead_type,lead_behaviour_profile,has_company,declared_monthly_revenue,seller_id,sr_id,business_segment,sdr_id,mql_id,declared_product_catalog_size
E_COMMERCE.LEADS_QUALIFIED|first_contact_date,origin,landing_page_id,mql_id
E_COMMERCE.ORDERS|order_delivered_customer_date,order_status,order_id,order_delivered_carrier_date,order_purchase_timestamp,order_estimated_delivery_date,order_approved_at,customer_id
E_COMMERCE.ORDER_ITEMS|order_id,price,order_item_id,shipping_limit_date,product_id,seller_id,freight_value
E_COMMERCE.ORDER_PAYMENTS|payment_sequential,payment_installments,payment_value,order_id,payment_type
E_COMMERCE.ORDER_REVIEWS|review_comment_title,review_answer_timestamp,review_score,order_id,review_id,review_creation_date,review_comment_message
E_COMMERCE.PRODUCTS|product_photos_qty,product_description_lenght,product_height_cm,product_width_cm,product_name_lenght,product_id,product_weight_g,product_length_cm,product_category_name
E_COMMERCE.PRODUCT_CATEGORY_NAME_TRANSLATION|product_category_name,product_category_name_english
E_COMMERCE.SELLERS|seller_zip_code_prefix,seller_state,seller_city,seller_id
