[TEMPLATES]
Format: Tn|col1,col2|schema1.table1;schema2.table2
T18|da,snow_ice_pellets,wban,count_wdsp,flag_prcp,count_stp,visib,count_temp,year,hail,thunder,count_slp,stp,min,gust,flag_max,wdsp,mxpsd,tornado_funnel_cloud,rain_drizzle,flag_min,dewp,fog,slp,max,stn,mo,count_visib,sndp,count_dewp,temp,prcp|NOAA_GSOD.GSOD1929;NOAA_GSOD.GSOD1930;NOAA_GSOD.GSOD1931;NOAA_GSOD.GSOD1932;NOAA_GSOD.GSOD1933;NOAA_GSOD.GSOD1934;NOAA_GSOD.GSOD1935;NOAA_GSOD.GSOD1936;NOAA_GSOD.GSOD1937;NOAA_GSOD.GSOD1938;NOAA_GSOD.GSOD1939;NOAA_GSOD.GSOD1940;NOAA_GSOD.GSOD1941;NOAA_GSOD.GSOD1942;NOAA_GSOD.GSOD1943;NOAA_GSOD.GSOD1944;NOAA_GSOD.GSOD1945;NOAA_GSOD.GSOD1946;NOAA_GSOD.GSOD1947;NOAA_GSOD.GSOD1948;NOAA_GSOD.GSOD1949;NOAA_GSOD.GSOD1950;NOAA_GSOD.GSOD1951;NOAA_GSOD.GSOD1952;NOAA_GSOD.GSOD1953;NOAA_GSOD.GSOD1954;NOAA_GSOD.GSOD1955;NOAA_GSOD.GSOD1956;NOAA_GSOD.GSOD1957;NOAA_GSOD.GSOD1958;NOAA_GSOD.GSOD1959;NOAA_GSOD.GSOD1960;NOAA_GSOD.GSOD1961;NOAA_GSOD.GSOD1962;NOAA_GSOD.GSOD1963;NOAA_GSOD.GSOD1964;NOAA_GSOD.GSOD1965;NOAA_GSOD.GSOD1966;NOAA_GSOD.GSOD1967;NOAA_GSOD.GSOD1968;NOAA_GSOD.GSOD1969;NOAA_GSOD.GSOD1970;NOAA_GSOD.GSOD1971;NOAA_GSOD.GSOD1972;NOAA_GSOD.GSOD1973;NOAA_GSOD.GSOD1974;NOAA_GSOD.GSOD1975;NOAA_GSOD.GSOD1976;NOAA_GSOD.GSOD1977;NOAA_GSOD.GSOD1978;NOAA_GSOD.GSOD1979;NOAA_GSOD.GSOD1980;NOAA_GSOD.GSOD1981;NOAA_GSOD.GSOD1982;NOAA_GSOD.GSOD1983;NOAA_GSOD.GSOD1984;NOAA_GSOD.GSOD1985;NOAA_GSOD.GSOD1986;NOAA_GSOD.GSOD1987;NOAA_GSOD.GSOD1988;NOAA_GSOD.GSOD1989;NOAA_GSOD.GSOD1990;NOAA_GSOD.GSOD1991;NOAA_GSOD.GSOD1992;NOAA_GSOD.GSOD1993;NOAA_GSOD.GSOD1994;NOAA_GSOD.GSOD1995;NOAA_GSOD.GSOD1996;NOAA_GSOD.GSOD1997;NOAA_GSOD.GSOD1998;NOAA_GSOD.GSOD1999;NOAA_GSOD.GSOD2000;NOAA_GSOD.GSOD2001;NOAA_GSOD.GSOD2002;NOAA_GSOD.GSOD2003;NOAA_GSOD.GSOD2004;NOAA_GSOD.GSOD2005;NOAA_GSOD.GSOD2006;NOAA_GSOD.GSOD2007;NOAA_GSOD.GSOD2008;NOAA_GSOD.GSOD2009;NOAA_GSOD.GSOD2010;NOAA_GSOD.GSOD2011;NOAA_GSOD.GSOD2012;NOAA_GSOD.GSOD2013;NOAA_GSOD.GSOD2014;NOAA_GSOD.GSOD2015;NOAA_GSOD.GSOD2016;NOAA_GSOD.GSOD2017;NOAA_GSOD.GSOD2018;NOAA_GSOD.GSOD2019
T6|lsad_name,lsad_code,congress_session,district_geom,int_point_lon,state_fips_code,geo_id,mtfcc_feature_class_code,area_water_meters,int_point_lat,district_fips_code,int_point_geom,area_land_meters,functional_status|GEO_US_BOUNDARIES.CONGRESS_DISTRICT_115;GEO_US_BOUNDARIES.CONGRESS_DISTRICT_116

[DERIVED]
Format: Tm<Tp|col1,col2|schema1.table1;schema2.table2
T19<T18|date|NOAA_GSOD.GSOD2020;NOAA_GSOD.GSOD2021;NOAA_GSOD.GSOD2022;NOAA_GSOD.GSOD2023;NOAA_GSOD.GSOD2024

[STANDALONE]
Format: schema.table|col1,col2
CYCLISTIC.STATE_FIPS|state,postal_code,fips
CYCLISTIC.ZIP_CODES|zip,borough,neighborhood
GEO_US_BOUNDARIES.ADJACENT_COUNTIES|neighbors_fips_code,county_fips_code,neighbors,neighbors_state,state,county
GEO_US_BOUNDARIES.ADJACENT_STATES|state,neighbors_fips_code,state_fips_code,state_name,neighbors_state
GEO_US_BOUNDARIES.CBSA|cbsa_fips_code,name,area_water_meters,cbsa_geom,csa_geo_id,lsad_code,msa_indicator,area_land_meters,internal_point_geom,lsad_name,internal_point_longitude,internal_point_latitude,mtfcc_feature_class_code,geo_id
GEO_US_BOUNDARIES.CNECTA|lsad,geo_id,mtfcc_feature_class_code,cnecta_geom,int_point_lat,int_point_lon,area_water_meters,name_lsad,name,cnecta_fips_code,area_land_meters
GEO_US_BOUNDARIES.COASTLINE|coastline_geom,name
GEO_US_BOUNDARIES.COUNTIES|county_gnis_code,cbsa_fips_code,lsad_code,mtfcc_feature_class_code,fips_class_code,int_point_lon,county_geom,geo_id,lsad_name,int_point_geom,county_fips_code,area_water_meters,functional_status,state_fips_code,csa_fips_code,area_land_meters,met_div_fips_code,county_name,int_point_lat
GEO_US_BOUNDARIES.CSA|internal_point_lon,internal_point_geom,geo_id,internal_point_lat,lsad_name,area_water_meters,area_land_meters,msa_lsad_code,mtfcc_feature_class_code,name,csa_geom,csa_code
GEO_US_BOUNDARIES.METROPOLITAN_DIVISIONS|area_land_meters,csa_code,name,internal_point_geom,mtfcc_feature_class_code,internal_point_latitude,geo_id,area_water_meters,lsad_code,internal_point_longitude,metdiv_geom,cbsa_code,metdiv_code,lsad_name
GEO_US_BOUNDARIES.NATIONAL_OUTLINE|aff_geo_id,us_outline_geom,name,geo_id
GEO_US_BOUNDARIES.NWS_FORECAST_REGIONS|fe_area,name,cwa,shape_geometry,shortname,lon,state_zone,state,zone,time_zone,lat
GEO_US_BOUNDARIES.RAILWAYS|railway_geom,mtfcc_feature_class_code,geo_id,full_name
GEO_US_BOUNDARIES.STATES|state_fips_code,division_code,area_water_meters,int_point_lon,functional_status,int_point_geom,geo_id,state_gnis_code,state,region_code,area_land_meters,state_name,int_point_lat,state_geom,mtfcc_feature_class_code,lsad_code
GEO_US_BOUNDARIES.URBAN_AREAS|internal_point_lat,internal_point_geom,internal_point_lon,urban_area_geom,geo_id,name,functional_status,urban_area_code,area_lsad_code,lsad_name,type,mtfcc_feature_class_code,area_land_meters,area_water_meters
GEO_US_BOUNDARIES.ZIP_CODES|area_land_meters,internal_point_lat,zip_code,area_water_meters,state_code,fips_class_code,zip_code_geom,state_fips_code,county,functional_status,state_name,internal_point_geom,mtfcc_feature_class_code,internal_point_lon,city
NEW_YORK_CITIBIKE.CITIBIKE_STATIONS|latitude,capacity,rental_methods,is_renting,num_bikes_disabled,station_id,num_docks_available,eightd_has_available_keys,region_id,num_bikes_available,is_installed,longitude,eightd_has_key_dispenser,name,short_name,last_reported,is_returning,num_docks_disabled
NEW_YORK_CITIBIKE.CITIBIKE_TRIPS|start_station_longitude,customer_plan,birth_year,end_station_name,usertype,gender,starttime,bikeid,stoptime,start_station_id,end_station_latitude,end_station_longitude,start_station_name,start_station_latitude,tripduration,end_station_id
NOAA_GSOD.STATIONS|elev,country,usaf,lon,call,wban,name,begin,state,lat,end
