[TEMPLATES]
Format: Tn|col1,col2|schema1.table1;schema2.table2
T40|da,wban,snow_ice_pellets,count_wdsp,flag_prcp,count_stp,visib,count_temp,hail,year,count_slp,thunder,stp,gust,flag_max,min,wdsp,mxpsd,tornado_funnel_cloud,rain_drizzle,flag_min,dewp,fog,max,slp,stn,count_visib,mo,count_dewp,sndp,temp,prcp|NOAA_GSOD.GSOD1929;NOAA_GSOD.GSOD1930;NOAA_GSOD.GSOD1931;NOAA_GSOD.GSOD1932;NOAA_GSOD.GSOD1933;NOAA_GSOD.GSOD1934;NOAA_GSOD.GSOD1935;NOAA_GSOD.GSOD1936;NOAA_GSOD.GSOD1937;NOAA_GSOD.GSOD1938;NOAA_GSOD.GSOD1939;NOAA_GSOD.GSOD1940;NOAA_GSOD.GSOD1941;NOAA_GSOD.GSOD1942;NOAA_GSOD.GSOD1943;NOAA_GSOD.GSOD1944;NOAA_GSOD.GSOD1945;NOAA_GSOD.GSOD1946;NOAA_GSOD.GSOD1947;NOAA_GSOD.GSOD1948;NOAA_GSOD.GSOD1949;NOAA_GSOD.GSOD1950;NOAA_GSOD.GSOD1951;NOAA_GSOD.GSOD1952;NOAA_GSOD.GSOD1953;NOAA_GSOD.GSOD1954;NOAA_GSOD.GSOD1955;NOAA_GSOD.GSOD1956;NOAA_GSOD.GSOD1957;NOAA_GSOD.GSOD1958;NOAA_GSOD.GSOD1959;NOAA_GSOD.GSOD1960;NOAA_GSOD.GSOD1961;NOAA_GSOD.GSOD1962;NOAA_GSOD.GSOD1963;NOAA_GSOD.GSOD1964;NOAA_GSOD.GSOD1965;NOAA_GSOD.GSOD1966;NOAA_GSOD.GSOD1967;NOAA_GSOD.GSOD1968;NOAA_GSOD.GSOD1969;NOAA_GSOD.GSOD1970;NOAA_GSOD.GSOD1971;NOAA_GSOD.GSOD1972;NOAA_GSOD.GSOD1973;NOAA_GSOD.GSOD1974;NOAA_GSOD.GSOD1975;NOAA_GSOD.GSOD1976;NOAA_GSOD.GSOD1977;NOAA_GSOD.GSOD1978;NOAA_GSOD.GSOD1979;NOAA_GSOD.GSOD1980;NOAA_GSOD.GSOD1981;NOAA_GSOD.GSOD1982;NOAA_GSOD.GSOD1983;NOAA_GSOD.GSOD1984;NOAA_GSOD.GSOD1985;NOAA_GSOD.GSOD1986;NOAA_GSOD.GSOD1987;NOAA_GSOD.GSOD1988;NOAA_GSOD.GSOD1989;NOAA_GSOD.GSOD1990;NOAA_GSOD.GSOD1991;NOAA_GSOD.GSOD1992;NOAA_GSOD.GSOD1993;NOAA_GSOD.GSOD1994;NOAA_GSOD.GSOD1995;NOAA_GSOD.GSOD1996;NOAA_GSOD.GSOD1997;NOAA_GSOD.GSOD1998;NOAA_GSOD.GSOD1999;NOAA_GSOD.GSOD2000;NOAA_GSOD.GSOD2001;NOAA_GSOD.GSOD2002;NOAA_GSOD.GSOD2003;NOAA_GSOD.GSOD2004;NOAA_GSOD.GSOD2005;NOAA_GSOD.GSOD2006;NOAA_GSOD.GSOD2007;NOAA_GSOD.GSOD2008;NOAA_GSOD.GSOD2009;NOAA_GSOD.GSOD2010;NOAA_GSOD.GSOD2011;NOAA_GSOD.GSOD2012;NOAA_GSOD.GSOD2013;NOAA_GSOD.GSOD2014;NOAA_GSOD.GSOD2015;NOAA_GSOD.GSOD2016;NOAA_GSOD.GSOD2017;NOAA_GSOD.GSOD2018;NOAA_GSOD.GSOD2019
T12|state,event_type,reference_location,episode_id,cz_type,tor_other_wfo,event_azimuth,damage_crops,injuries_direct,cz_name,event_begin_time,magnitude_type,event_point,cz_fips_code,tor_length,deaths_direct,tor_width,damage_property,source,event_id,event_longitude,event_latitude,event_range,injuries_indirect,magnitude,event_timezone,location_index,wfo,event_end_time,flood_cause,state_fips_code,deaths_indirect,tor_f_scale|NOAA_HISTORIC_SEVERE_STORMS.STORMS_1950;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1951;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1952;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1953;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1954;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1955;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1956;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1957;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1958;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1959;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1960;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1961;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1962;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1963;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1964;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1965;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1966;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1967;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1968;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1969;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1970;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1971;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1972;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1973;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1974;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1975;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1976;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1977;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1978;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1979;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1980;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1981;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1982;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1983;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1984;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1985;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1986;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1987;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1988;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1989;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1990;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1991;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1992;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1993;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1994;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1995;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1996;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1997;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1998;NOAA_HISTORIC_SEVERE_STORMS.STORMS_1999;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2000;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2001;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2002;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2003;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2004;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2005;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2006;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2007;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2008;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2009;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2010;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2011;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2012;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2013;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2014;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2015;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2016;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2017;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2018;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2019;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2020;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2021;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2022;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2023;NOAA_HISTORIC_SEVERE_STORMS.STORMS_2024
T18|wave_direction,air_temperature,dpt_indicator,wave_height,middle_cloud_type,year,ship_speed,dewpoint_temperature,nightday_flag,day,release_status_indicator,intermediate_reject_flag,swell_period,wave_period_indicator,swell_height,visibility_indicator,imma_version,sea_level_pressure,country_code,swell_period_indicator,timestamp,present_weather,release_no_secondary,sst_measurement_method,dup_check,wind_direction_true,sea_surface_temp,ncdc_qc_flags,high_cloud_type,id_indicator,wetbulb_temperature,pressure_bias,box_system_indicator,past_weather,month,wind_speed,indicator_for_temp,one_degree_box_number,source_exclusion_flags,dup_status,amt_pressure_tend,cloud_height_indicator,longitude,landlocked_flag,national_source_indicator,visibility,release_no_tertiary,lower_cloud_amount,cloud_height,wind_speed_indicator,low_cloud_type,track_check,unique_report_id,swell_direction,deck,latlong_indicator,ten_degree_box_number,source_id,characteristic_of_ppp,wbt_indicator,ship_course,wave_period,external,trimming_flags,release_no_primary,callsign,total_cloud_amount,wind_direction_indicator,adaptive_qc_flags,second_country_code,latitude,attm_count,platform_type,hour,time_indicator|NOAA_ICOADS.ICOADS_CORE_1662_2000;NOAA_ICOADS.ICOADS_CORE_2001_2004;NOAA_ICOADS.ICOADS_CORE_2005;NOAA_ICOADS.ICOADS_CORE_2006;NOAA_ICOADS.ICOADS_CORE_2007;NOAA_ICOADS.ICOADS_CORE_2008;NOAA_ICOADS.ICOADS_CORE_2009;NOAA_ICOADS.ICOADS_CORE_2010;NOAA_ICOADS.ICOADS_CORE_2011;NOAA_ICOADS.ICOADS_CORE_2012;NOAA_ICOADS.ICOADS_CORE_2013;NOAA_ICOADS.ICOADS_CORE_2014;NOAA_ICOADS.ICOADS_CORE_2015;NOAA_ICOADS.ICOADS_CORE_2016;NOAA_ICOADS.ICOADS_CORE_2017
T10|end_depth,inline_depth,local_time,utc_time|NOAA_PIFSC_METADATA.DCLDE_LASKER_ARRAY_DEPTH;NOAA_PIFSC_METADATA.DCLDE_SETTE_ARRAY_DEPTH
T13|location,timestamp,state,report_point,time,f_scale,latitude,county,comments,longitude|NOAA_HISTORIC_SEVERE_STORMS.TORNADO_REPORTS;NOAA_PRELIMINARY_SEVERE_STORMS.TORNADO_REPORTS
T14|time,location,report_point,county,size,latitude,comments,timestamp,state,longitude|NOAA_HISTORIC_SEVERE_STORMS.HAIL_REPORTS;NOAA_PRELIMINARY_SEVERE_STORMS.HAIL_REPORTS
T15|state_zone,fe_area,shortname,cwa,time_zone,shape_geometry,name,zone,lat,lon,state|GEO_US_BOUNDARIES.NWS_FORECAST_REGIONS;NOAA_HISTORIC_SEVERE_STORMS.NWS_FORECAST_REGIONS
T16|comments,timestamp,report_point,location,state,longitude,speed,county,latitude,time|NOAA_HISTORIC_SEVERE_STORMS.WIND_REPORTS;NOAA_PRELIMINARY_SEVERE_STORMS.WIND_REPORTS
T25|lsad_name,lsad_code,congress_session,int_point_lon,district_geom,state_fips_code,geo_id,mtfcc_feature_class_code,area_water_meters,int_point_lat,int_point_geom,district_fips_code,area_land_meters,functional_status|GEO_US_BOUNDARIES.CONGRESS_DISTRICT_115;GEO_US_BOUNDARIES.CONGRESS_DISTRICT_116
T4|effort,sighting_number,longitude,latitude,local_ship_date,total_high,distance,total_best,point,bearing,total_low,effort_type,species_id,sighting_local_time|NOAA_PIFSC_METADATA.DCLDE_2020_1705_VISUAL_SIGHTINGS;NOAA_PIFSC_METADATA.DCLDE_2020_1706_VISUAL_SIGHTINGS
T6|longitude,latitude,effort,utc_time,speed,local_time|NOAA_PIFSC_METADATA.DCLDE_LASKER_GPS

[DERIVED]
Format: Tm<Tp|col1,col2|schema1.table1;schema2.table2
T41<T40|date|NOAA_GSOD.GSOD2020;NOAA_GSOD.GSOD2021;NOAA_GSOD.GSOD2022;NOAA_GSOD.GSOD2023;NOAA_GSOD.GSOD2024
T5<T6|point|NOAA_PIFSC_METADATA.DCLDE_SETTE_GPS

[STANDALONE]
Format: schema.table|col1,col2
GEO_US_BOUNDARIES.ADJACENT_COUNTIES|neighbors_fips_code,county_fips_code,neighbors,neighbors_state,state,county
GEO_US_BOUNDARIES.ADJACENT_STATES|state,neighbors_fips_code,state_fips_code,state_name,neighbors_state
GEO_US_BOUNDARIES.CBSA|name,area_water_meters,cbsa_fips_code,cbsa_geom,csa_geo_id,lsad_code,msa_indicator,area_land_meters,internal_point_geom,lsad_name,internal_point_longitude,internal_point_latitude,mtfcc_feature_class_code,geo_id
GEO_US_BOUNDARIES.CNECTA|lsad,geo_id,mtfcc_feature_class_code,cnecta_geom,int_point_lat,int_point_lon,area_water_meters,name_lsad,name,cnecta_fips_code,area_land_meters
GEO_US_BOUNDARIES.COASTLINE|coastline_geom,name
GEO_US_BOUNDARIES.COUNTIES|cbsa_fips_code,county_gnis_code,lsad_code,mtfcc_feature_class_code,fips_class_code,int_point_lon,county_geom,geo_id,lsad_name,int_point_geom,area_water_meters,county_fips_code,functional_status,state_fips_code,csa_fips_code,area_land_meters,county_name,met_div_fips_code,int_point_lat
GEO_US_BOUNDARIES.CSA|internal_point_lon,internal_point_geom,geo_id,internal_point_lat,lsad_name,area_water_meters,area_land_meters,msa_lsad_code,mtfcc_feature_class_code,name,csa_geom,csa_code
GEO_US_BOUNDARIES.METROPOLITAN_DIVISIONS|area_land_meters,csa_code,name,internal_point_geom,mtfcc_feature_class_code,internal_point_latitude,geo_id,area_water_meters,internal_point_longitude,lsad_code,metdiv_geom,cbsa_code,metdiv_code,lsad_name
GEO_US_BOUNDARIES.NATIONAL_OUTLINE|aff_geo_id,us_outline_geom,name,geo_id
GEO_US_BOUNDARIES.RAILWAYS|railway_geom,geo_id,mtfcc_feature_class_code,full_name
GEO_US_BOUNDARIES.STATES|state_fips_code,division_code,area_water_meters,int_point_lon,functional_status,int_point_geom,state_gnis_code,geo_id,state,region_code,area_land_meters,state_name,int_point_lat,state_geom,mtfcc_feature_class_code,lsad_code
GEO_US_BOUNDARIES.URBAN_AREAS|internal_point_lat,internal_point_geom,internal_point_lon,urban_area_geom,geo_id,name,functional_status,urban_area_code,area_lsad_code,lsad_name,type,mtfcc_feature_class_code,area_water_meters,area_land_meters
GEO_US_BOUNDARIES.ZIP_CODES|area_land_meters,internal_point_lat,zip_code,fips_class_code,zip_code_geom,state_code,area_water_meters,state_fips_code,county,functional_status,state_name,internal_point_geom,mtfcc_feature_class_code,internal_point_lon,city
NOAA_GSOD.STATIONS|elev,usaf,country,lon,call,wban,name,begin,state,lat,end
NOAA_HISTORIC_SEVERE_STORMS.TORNADO_PATHS|magnitude,time_zone_offset,end_lat,storm_date,injured_count,yearly_tornado_count,end_long,storm_time,length,crop_loss,start_lon,width,tornado_path_geom,state_fips_code,state_abbreviation,fatality_count,state_name,property_loss,start_lat
NOAA_HURRICANES.HURRICANES|bom_tnum,iflag,reunion_latitude,bom_r50_ne,season,ds824_pressure,hko_pressure,bom_eye,nature,reunion_longitude,usa_r50_sw,nadi_pressure,newdelhi_dp,bom_type,bom_r64_nw,mlc_class,reunion_wind,reunion_r34_nw,newdelhi_ci,usa_r50_ne,bom_r50_sw,usa_r34_se,bom_r64_se,reunion_r34_ne,reunion_r50_sw,mlc_wind,usa_r34_nw,td9635_latitude,bom_poci,usa_r64_ne,hko_wind,reunion_r50_ne,hko_cat,neumann_pressure,ds824_wind,basin,cma_cat,bom_pos_method,bom_latitude,usa_r64_se,ds824_longitude,usa_eye,tokyo_longitude,iso_time,newdelhi_pressure,reunion_tnum,usa_r64_nw,bom_r34_sw,tokyo_r30_long,wmo_agency,longitude,subbasin,bom_r34_nw,cma_pressure,cma_latitude,bom_r34_se,td9635_wind,wellington_latitude,usa_roci,bom_r64_ne,usa_r50_nw,usa_agency,tokyo_latitude,usa_r50_se,wmo_pressure,usa_longitude,td9635_longitude,landfall,usa_status,latitude,sid,nadi_wind,wmo_wind,usa_r34_sw,tokyo_r30_short,usa_pressure,reunion_r34_sw,nadi_longitude,tokyo_r50_short,usa_r34_ne,bom_pressure_method,mlc_pressure,track_type,usa_rmw,usa_r64_sw,usa_record,tokyo_grade,reunion_r64_nw,newdelhi_latitude,ds824_latitude,hko_latitude,tokyo_r50_longitude,cma_wind,cma_longitude,etl_timestamp,reunion_r64_sw,usa_atcf_id,reunion_r50_se,wellington_longitude,ds824_stage,tokyo_wind,nadi_latitude,reunion_r34_se,reunion_r64_ne,newdelhi_poci,neumann_latitude,reunion_pressure,newdelhi_longitude,source_url,bom_r50_se,usa_latitude,td9636_wind,td9636_longitude,td9636_pressure,bom_r34_ne,mlc_longitude,wellington_wind,bom_roci,bom_ci,hko_longitude,tokyo_r50_dir,newdelhi_grade,reunion_r64_se,neumann_class,reunion_rmw,usa_wind,name,td9635_roci,reunion_type,reunion_ci,bom_wind,usa_sshs,mlc_latitude,bom_rmw,tokyo_land,wellington_pressure,tokyo_pressure,nadi_cat,bom_pressure,td9636_stage,td9635_pressure,reunion_r50_nw,bom_longitude,tokyo_r30_dir,newdelhi_wind,number,usa_poci,bom_r50_nw,dist2land,neumann_wind,bom_r64_sw,neumann_longitude,td9636_latitude
NOAA_PASSIVE_ACOUSTIC_INDEX.NRS_METADATA|sample_rate,point_geom,funding_organization,file_name,source_organization,start_time,sensor_depth,start_date,project_name,deployment_name,file_link,duration,platform_name,lat,lon
NOAA_PASSIVE_ACOUSTIC_INDEX.SANCTSOUND_METADATA|latitude,start_date,file_link,longitude,funding_organization,start_time,platform_name,source_organization,sample_rate,file_name,sensor_depth,recording_percent,project_name,data_collection_name
NOAA_PASSIVE_BIOACOUSTIC.NCEI_AFSC_PAD_METADATA|platform_name,file_name,shape,project_name,funding_organization,cloud_path,source_organization,sample_rate,duration,start_date,data_collection_name,sensor_depth,start_time
NOAA_PASSIVE_BIOACOUSTIC.NCEI_NEFSC_PAD_METADATA|shape4,platform_name,start_time,sample_rate,source_organization,shape1,duration,shape5,cloud_path,funding_organization,shape9,start_date,shape2,project_name,data_collection_name,shape3,sensor_depth,shape8,file_name,shape7,shape6,shape10
NOAA_PASSIVE_BIOACOUSTIC.NCEI_NRS_PAD_METADATA|funding_organization,platform_name,project_name,file_name,sensor_depth,lon,start_date,recording,source_organization,sample_rate_hz,start_time,deployment_name,lat
NOAA_PASSIVE_BIOACOUSTIC.NCEI_SANCTSOUND_PAD_METADATA|start_time,data_collection_name,project_name,lon,sample_rate_hz,platform_name,sensor_depth,start_date,lat,recording,file_name,source_organization,funding_organization
NOAA_PIFSC_METADATA.DCLDE_2020_1705_ARRAY|hp2_ad,array2,array_end_local,hp6_ad,array_start_local,hp5_ad,hp1_dist,hp6_dist,hp3_ad,hp4_dist,hp2_dist,hp1_ad,hp5_dist,array_start_utc,hp4_ad,array1,hp3_dist,array_end_utc
NOAA_PIFSC_METADATA.DCLDE_2020_1705_MINKE_DETECTIONS|detection_time_end_utc,latitude,longitude,detection_time_start_local,detection_time_start_utc,point
NOAA_PIFSC_METADATA.DCLDE_2020_1705_ODONTOCETE_DETECTIONS|first_distance,latitude,beam_time_utc,first_angle,species1_id,species3_id,detection_time_start_utc,point,sighting_number,longitude,species2_id,acoustic_detection_number,detection_time_end_utc,detection_distance,beam_distance,detection_time_start_local
NOAA_PIFSC_METADATA.DCLDE_2020_1706_ARRAY|hp6_ad,array1,hp6_dist,hp3_ad,hp4_dist,array2,hp3_dist,array_end_local,hp2_ad,hp1_ad,hp4_ad,hp5_dist,array_end_utc,hp2_dist,hp5_ad,hp1_dist,array_start_local,array_start_utc
NOAA_PIFSC_METADATA.DCLDE_2020_1706_ODONTOCETE_DETECTIONS|detection_time_end_utc,sighting_number,detection_distance,beam_time_utc,first_angle,latitude,species2_id,detection_time_start_local,longitude,point,detection_time_start_utc,species3_id,first_distance,acoustic_detection_number,beam_distance,species1_id
NOAA_PIFSC_METADATA.DCLDE_2020_DETECTION_README|field,description,table
NOAA_PIFSC_METADATA.DCLDE_2020_SPECIES_LOOKUP|common_name,species_name,code
NOAA_SIGNIFICANT_EARTHQUAKES.EARTHQUAKES|missing_description,eq_mag_mfa,total_deaths,total_damage_millions_dollars,second,damage_description,total_missing,location_name,total_injuries_description,deaths_description,total_houses_damaged_description,damage_millions_dollars,eq_mag_mw,missing,eq_primary,state,houses_destroyed_description,longitude,latitude,intensity,flag_tsunami,total_injuries,focal_depth,total_deaths_description,year,id,eq_mag_mb,hour,region_code,injuries,injuries_description,houses_destroyed,eq_mag_unk,total_missing_description,country,eq_mag_ml,minute,eq_mag_ms,month,day,total_houses_damaged,deaths,houses_damaged_description,total_houses_destroyed,total_damage_description,houses_damaged,total_houses_destroyed_description
NOAA_TSUNAMI.HISTORICAL_RUNUPS|day,location_name,houses_damaged,distance_from_source,water_ht,tsevent_id,timestamp,region_code,period,injuries_description,travel_time_hours,horizontal_inundation,latitude,injuries,deaths,houses_damaged_description,houses_destroyed,damage_description,arr_day,longitude,month,doubtful,country,arr_hour,arr_min,first_motion,year,houses_destroyed_description,id,travel_time_minutes,state,type_measurement_id,deaths_description,damage_millions_dollars
NOAA_TSUNAMI.HISTORICAL_SOURCE_EVENT|longitude,warning_status,state,day,iida,region_code,focal_depth,total_damage_description,timestamp,total_deaths_description,missing,total_injuries_description,houses_destroyed,houses_damaged_description,injuries_description,total_houses_damaged_description,abe,deaths,total_injuries,total_missing_description,damage_millions_dollars,total_deaths,location_name,soloviev,year,houses_destroyed_description,injuries,latitude,cause_code,total_houses_destroyed_description,id,month,total_houses_destroyed,missing_description,maximum_water_height,total_houses_damaged,event_validity,damage_description,deaths_description,houses_damaged,country,total_damage_in_millions_dollars,primary_magnitude,total_missing
