[STANDALONE]
Format: schema.table|col1,col2
GENETICS.DISEASE_VARIANT_GENE|direction,qtl_pval,has_sumstats,n_cases,tag_chrom,pmid,pval,type_id,n_initial,n_replication,interval_score_q,gene_id,qtl_se,d,oddsr_ci_lower,trait_efos,qtl_score_q,posterior_prob,AFR_1000G_prop,tag_pos,trait_reported,SAS_1000G_prop,ancestry_initial,lead_alt,trait_category,source,qtl_score,feature,interval_score,lead_pos,pub_journal,tag_ref,fpred_labels,EUR_1000G_prop,oddsr_ci_upper,tag_alt,beta,overall_r2,pub_author,study_id,qtl_beta,fpred_scores,lead_chrom,beta_ci_upper,pub_date,fpred_max_label,EAS_1000G_prop,fpred_max_score,source_id,pub_title,distance_score,log10_ABF,odds_ratio,AMR_1000G_prop,num_assoc_loci,pval_mantissa,ancestry_replication,distance_score_q,pval_exponent,lead_ref,beta_ci_lower
GENETICS.GENES|gene_name,description,tss,fwdstrand,start,biotype,chr,end,exons,gene_id
GENETICS.LOCUS2GENE|y_proba_logi_pathogenicity,training_gs,pos,study_id,y_proba_logo_pathogenicity,gene_id,y_proba_dist_foot,y_proba_logo_interaction,y_proba_logi_interaction,ref,chrom,y_proba_full_model,training_fold,y_proba_logi_molecularQTL,alt,training_clf,y_proba_logi_distance,y_proba_logo_molecularQTL,y_proba_dist_tss,y_proba_logo_distance
GENETICS.OT_RELEASE|release
GENETICS.SA_GWAS|se,n_cases,eaf,info,pos,mac,type_id,mac_cases,ref,study_id,chrom,pval,alt,beta,n_total,is_cc
GENETICS.SA_MOLECULAR_TRAIT|alt,n_total,mac,bio_feature,type_id,eaf,info,pos,se,ref,num_tests,phenotype_id,mac_cases,n_cases,beta,gene_id,is_cc,study_id,pval,chrom
GENETICS.STUDIES_OVERLAP|B_ref,A_study_id,A_chrom,B_study_id,B_chrom,B_pos,B_alt,AB_overlap,A_ref,B_distinct,A_alt,A_pos,A_distinct
GENETICS.STUDIES|study_id,has_sumstats,trait_reported,pub_title,n_replication,pub_date,ancestry_replication,pub_journal,n_cases,pmid,n_initial,pub_author,trait_efos,trait_category,num_assoc_loci,source,ancestry_initial
GENETICS.VARIANTS|cadd,rs_id,gene_id_prot_coding_distance,af,chr_id,ref_allele,position,chr_id_b37,position_b37,most_severe_consequence,gene_id_prot_coding,gene_id_any_distance,gene_id_any,alt_allele
GENETICS.VARIANT_DISEASE_COLOC|left_pos,right_pos,left_var_right_isCC,right_phenotype,left_alt,left_study,right_chrom,is_flipped,left_var_right_study_se,right_type,left_chrom,right_bio_feature,left_ref,left_var_right_study_beta,right_gene_id,coloc_h4_h3,right_ref,coloc_h1,right_study,left_var_right_study_pval,coloc_h2,coloc_h0,coloc_n_vars,left_type,right_alt,coloc_h4,coloc_log2_h4_h3,coloc_h3
GENETICS.VARIANT_DISEASE_CREDSET|multisignal_method,study_id,tag_chrom,is95_credset,tag_variant_id,type,lead_alt,tag_se,tag_beta_cond,tag_pos,gene_id,tag_ref,lead_pos,lead_variant_id,tag_se_cond,phenotype_id,tag_alt,postprob,is99_credset,lead_chrom,lead_ref,logABF,tag_pval_cond,tag_beta,bio_feature,postprob_cumsum,tag_pval
GENETICS.VARIANT_DISEASE|EAS_1000G_prop,study_id,beta_ci_lower,lead_alt,source,n_cases,AMR_1000G_prop,pval_mantissa,tag_alt,tag_ref,pub_author,AFR_1000G_prop,EUR_1000G_prop,pmid,trait_efos,pub_title,pval_exponent,n_initial,pub_journal,oddsr_ci_upper,trait_reported,odds_ratio,tag_pos,direction,posterior_prob,log10_ABF,num_assoc_loci,pics_95perc_credset,pval,oddsr_ci_lower,tag_chrom,beta_ci_upper,ancestry_replication,beta,has_sumstats,SAS_1000G_prop,lead_chrom,lead_ref,overall_r2,n_replication,ancestry_initial,pub_date,trait_category,lead_pos
GENETICS.VARIANT_GENE|distance_score,d,qtl_beta,feature,chr_id,fpred_scores,fpred_max_label,ref_allele,position,qtl_se,gene_id,interval_score_q,fpred_max_score,type_id,qtl_score_q,alt_allele,qtl_score,interval_score,fpred_labels,source_id,qtl_pval,distance_score_q
