[TEMPLATES]
Format: Tn|col1,col2|schema1.table1;schema2.table2
T3|GEO_ID,UNIT,VARIABLE_NAME,DATE,VALUE,VARIABLE|CYBERSYN.FHFA_HOUSE_PRICE_TIMESERIES;CYBERSYN.IRS_MIGRATION_BY_CHARACTERISTIC_TIMESERIES;CYBERSYN.US_REAL_ESTATE_TIMESERIES
T18|DATE,UNIT,GEO_ID,VARIABLE_NAME,VARIABLE,VALUE|CYBERSYN.FHFA_MORTGAGE_PERFORMANCE_TIMESERIES;CYBERSYN.FREDDIE_MAC_HOUSING_TIMESERIES
T13|VARIABLE_NAME,VARIABLE,UNIT,FREQUENCY,MEASURE|CYBERSYN.FREDDIE_MAC_HOUSING_ATTRIBUTES
T8|VARIABLE_NAME,SEASONALLY_ADJUSTED,INCOME_BRACKET,UNIT,FREQUENCY,VARIABLE|CYBERSYN.IRS_INDIVIDUAL_INCOME_ATTRIBUTES

[DERIVED]
Format: Tm<Tp|col1,col2|schema1.table1;schema2.table2
T5<T18|SUPPRESSED|CYBERSYN.FHFA_UNIFORM_APPRAISAL_TIMESERIES;CYBERSYN.IRS_INDIVIDUAL_INCOME_TIMESERIES
T14<T8|AGE_GROUP,RETURN_GROUP|CYBERSYN.IRS_MIGRATION_BY_CHARACTERISTIC_ATTRIBUTES
T17<T13|REQUEST_TYPE|CYBERSYN.USPS_ADDRESS_CHANGE_ATTRIBUTES
T9<T13|SEASONALLY_ADJUSTED,MEASUREMENT_TYPE,BUILDING_USE,MEASUREMENT_PERIOD|CYBERSYN.US_REAL_ESTATE_ATTRIBUTES

[STANDALONE]
Format: schema.table|col1,col2
CYBERSYN.CYBERSYN_DATA_CATALOG|LICENSE_URL,DATA_SOURCE,TABLE_NAME_PROPER,CREATED_DATE,LISTING_NAME,LAST_UPDATED_TIMESTAMP,DESCRIPTION,TABLE_TYPE,SELECT_RELATED_TABLES,DOCUMENTATION_URL,SHORT_DESCRIPTION,DATA_SOURCE_URL,ENTITIES,LISTING_URL,TABLE_NAME
CYBERSYN.FHFA_HOUSE_PRICE_ATTRIBUTES|PROPERTY_CLASSIFICATION,VARIABLE_NAME,SEASONALLY_ADJUSTED,INDEX_TYPE,VARIABLE,FREQUENCY,UNIT
CYBERSYN.FHFA_MORTGAGE_PERFORMANCE_ATTRIBUTES|VARIABLE_GROUP,UNIT,FREQUENCY,VARIABLE,MARKET,VARIABLE_NAME
CYBERSYN.FHFA_UNIFORM_APPRAISAL_ATTRIBUTES|VARIABLE_GROUP,VARIABLE_NAME,CATEGORY,CHARACTERISTIC,UNIT,APPRAISAL_PURPOSE,FREQUENCY,VARIABLE
CYBERSYN.GEOGRAPHY_CHARACTERISTICS|RELATIONSHIP_START_DATE,RELATIONSHIP_END_DATE,GEO_NAME,GEO_ID,RELATIONSHIP_TYPE,VALUE
CYBERSYN.GEOGRAPHY_INDEX|LEVEL,ISO_ALPHA2,GEO_ID,ISO_3166_2_CODE,ISO_NUMERIC_CODE,GEO_NAME,ISO_NAME,ISO_ALPHA3
CYBERSYN.GEOGRAPHY_RELATIONSHIPS|RELATED_GEO_NAME,RELATED_LEVEL,RELATED_GEO_ID,RELATIONSHIP_TYPE,GEO_ID,GEO_NAME,LEVEL
CYBERSYN.HOME_MORTGAGE_DISCLOSURE_ATTRIBUTES|TOTAL_POINTS_AND_FEES,OCCUPANCY_TYPE,CENSUSTRACT_MEDIAN_AGE_OF_HOUSING_UNITS,INTEREST_ONLY_PAYMENT,APPLICANT_ETHNICITY,PRIMARY_DENIAL_REASON,MSA_NAME,GSE_CONFORMING_LOAN_LIMIT,COUNTY_NAME,ORIGINATION_CHARGES,CO_APPLICANT_AGE,CO_APPLICANT_SEX,INITIALLY_PAYABLE_TO_INSTITUTION,MANUFACTURED_HOME_SECURED_PROPERTY_TYPE,HOME_CONSTRUCTION_METHOD,MSA_GEO_ID,STATE_GEO_ID,APPLICANT_RACE,APPLICANT_INCOME,FOR_BUSINESS_OR_COMMERCIAL_PURPOSE,LIEN_STATUS,TOTAL_LOAN_COSTS,STATE_NAME,PERCENT_MULTIFAMILY_AFFORDABLE_UNITS,CENSUSTRACT_MINORITY_POPULATION_PERCENT,MANUFACTURED_HOME_LAND_PROPERTY_INTEREST,RATE_SPREAD,ACTION_TAKEN,NEGATIVE_AMORTIZATION,CO_APPLICANT_RACE,CO_APPLICANT_CREDIT_SCORE_SERVICE,APPLICATION_SUBMISSION_DESTINATION,TOTAL_HOUSING_UNITS,CENSUSTRACT_POPULATION,LOAN_TERM,HOEPA_HIGH_COST_MORTGAGE,APPLICANT_AGE,MSA_MEDIAN_FAMILY_INCOME,COMBINED_LOAN_TO_VALUE_RATIO,INTRO_RATE_PERIOD,PURCHASER_TYPE,OTHER_NONAMORTIZING_FEATURES,INTEREST_RATE,LOAN_AMOUNT,APPLICANT_AGE_ABOVE_62,PREPAYMENT_PENALTY_TERM,COUNTY_GEO_ID,OPEN_END_LINE_OF_CREDIT,CO_APPLICANT_ETHNICITY,REVERSE_MORTGAGE,LOAN_TYPE,INTEREST_RATE_DISCOUNT_POINTS_PAID,CO_APPLICANT_AGE_ABOVE_62,BALLOON_PAYMENT,AUTOMATED_UNDERWRITING_SYSTEM,CENSUSTRACT_GEO_ID,CENSUSTRACT_OWNER_OCCUPIED_UNIT_COUNT,LENDER_CREDITS,CENSUSTRACT_TO_MSA_INCOME_RATIO,PROPERTY_VALUE,YEAR,PREAPPROVAL,DEBT_TO_INCOME_RATIO,FINANCIAL_INSTITUTION_NAME,ALL_DENIAL_REASONS,LOAN_PURPOSE,APPLICANT_SEX,CENSUSTRACT_ONE_TO_FOUR_FAMILY_HOME_COUNT,LEGAL_ENTITY_IDENTIFIER,APPLICANT_CREDIT_SCORE_SERVICE
CYBERSYN.IRS_ORIGIN_DESTINATION_MIGRATION_TIMESERIES|SUPPRESSED,FROM_GEO_ID,VARIABLE_NAME,TO_GEO_ID,UNIT,DATE,VALUE
CYBERSYN.POINT_OF_INTEREST_ADDRESSES_RELATIONSHIPS|RELATIONSHIP_TYPE,POI_ID,RELATIONSHIP_START_DATE,RELATIONSHIP_END_DATE,ADDRESS_ID
CYBERSYN.POINT_OF_INTEREST_INDEX|CATEGORY_MAIN,POI_NAME,CATEGORY_ALTERNATE,POI_ID
CYBERSYN.USPS_ADDRESS_CHANGE_TIMESERIES|VARIABLE_NAME,DATE,VARIABLE,GEO_NAME,GEO_ID,VALUE
CYBERSYN.US_ADDRESSES|STREET_DIRECTIONAL_SUFFIX,STREET_DIRECTIONAL_PREFIX,LONGITUDE,ID_COUNTRY,ID_ZIP,ADDRESS_ID,ZIP,ID_STATE,LATITUDE,STREET_TYPE,NUMBER,UNIT,STREET,CITY,ID_CITY,STATE
