[TEMPLATES]
Format: Tn|col1,col2|schema1.table1;schema2.table2
T2|VALUE,DATE,VARIABLE_NAME,VARIABLE,GEO_ID,UNIT|CYBERSYN.CLIMATE_WATCH_TIMESERIES;CYBERSYN.EUROPEAN_COMMISSION_EDGAR_TIMESERIES;CYBERSYN.OUR_WORLD_IN_DATA_TIMESERIES
T11|VARIABLE,VARIABLE_NAME,UNIT,FREQUENCY,MEASURE,MEASUREMENT_TYPE|CYBERSYN.NOAA_WEATHER_METRICS_ATTRIBUTES

[DERIVED]
Format: Tm<Tp|col1,col2|schema1.table1;schema2.table2
T1<T11|ITEM,SOURCE,EMISSION_TYPE|CYBERSYN.FOOD_AGRICULTURE_ORGANIZATION_ATTRIBUTES
T9<T2|IMPORTER_GEO_ID,EXPORTER_GEO_ID|CYBERSYN.EIA_ENERGY_TIMESERIES

[STANDALONE]
Format: schema.table|col1,col2
CYBERSYN.CLIMATE_WATCH_ATTRIBUTES|VARIABLE_NAME,EMISSION_TYPE,SCENARIO,SECTOR,FREQUENCY,UNIT,SOURCE,VARIABLE,MEASURE
CYBERSYN.CYBERSYN_DATA_CATALOG|DATA_SOURCE,LICENSE_URL,TABLE_NAME_PROPER,LISTING_NAME,CREATED_DATE,LAST_UPDATED_TIMESTAMP,TABLE_TYPE,DESCRIPTION,SELECT_RELATED_TABLES,DOCUMENTATION_URL,SHORT_DESCRIPTION,DATA_SOURCE_URL,ENTITIES,LISTING_URL,TABLE_NAME
CYBERSYN.EIA_ENERGY_ATTRIBUTES|REPORT,SECTOR,MEASURE,FREQUENCY,UNIT,VARIABLE_NAME,ENERGY_TYPE,VARIABLE
CYBERSYN.EUROPEAN_COMMISSION_EDGAR_ATTRIBUTES|VARIABLE,FREQUENCY,IPCC_INDUSTRY,UNIT,VARIABLE_NAME,MEASURE
CYBERSYN.FEMA_DISASTER_DECLARATION_AREAS_INDEX|STATE_GEO_ID,DECLARED_PROGRAMS_DETAILED,FEMA_REGION_ID,DESIGNATED_DATE,DISASTER_DECLARATION_RECORD_ID,FEMA_PLACE_CODE,ENTRY_DATE,DISASTER_ID,FEMA_DESIGNATED_AREA,TRIBAL_REQUEST,CLOSEOUT_DATE,COUNTY_GEO_ID,UPDATE_DATE
CYBERSYN.FEMA_DISASTER_DECLARATION_INDEX|DISASTER_END_DATE,STATE_OBLIGATED_PUBLIC_ASSISTANCE_CATEGORY_C_TO_G_AMOUNT,DISASTER_DECLARATION_TYPE,DECLARED_PROGRAMS,APPROVED_INDIVIDUAL_AND_HOUSEHOLDS_PROGRAM_AMOUNT,INDIVIDUAL_ASSISTANCE_UPDATE_DATE,STATE_OBLIGATED_PUBLIC_ASSISTANCE_CATEGORY_A_B_AMOUNT,DISASTER_DECLARATION_REQUEST_ID,DISASTER_ID,DISASTER_BEGIN_DATE,APPROVED_INDIVIDUAL_ASSISTANCE_APPLICATIONS,DISASTER_TYPE,STATE_OBLIGATED_HAZARD_MITIGATION_GRANT_PROGRAM_AMOUNT,STATE_OBLIGATED_PUBLIC_ASSISTANCE_AMOUNT,DISASTER_DECLARATION_DATE,PUBLIC_ASSISTANCE_UPDATE_DATE,DISASTER_DECLARATION_NAME,FEMA_DISASTER_DECLARATION_ID,APPROVED_HOUSING_ASSISTANCE_AMOUNT,APPROVED_OTHER_NEEDS_ASSISTANCE_AMOUNT
CYBERSYN.FEMA_MISSION_ASSIGNMENT_INDEX|REQUESTED_ASSISTANCE_DESCRIPTION,CITY,STATE_COST_SHARE_PERCENT,STATE_GEO_ID,OBLIGATION_AMOUNT,FEMA_RECORD_ID,STATE_COST_SHARE_AMOUNT,ZIP_GEO_ID,PROJECTED_COMPLETION_DATE,REQUESTED_DATE,REQUESTED_AMOUNT,FEDERAL_COST_SHARE_PERCENT,OBLIGATION_DATE,STATEMENT_OF_WORK,MISSION_ASSIGNMENT_ID,FEDERAL_COST_SHARE_AMOUNT,DISASTER_ID,AMENDMENT_ID,REQUESTING_AGENCY
CYBERSYN.FEMA_NATIONAL_FLOOD_INSURANCE_PROGRAM_CLAIM_INDEX|LATITUDE,ICC_COVERAGE,REPLACEMENT_COST_BASIS,ORIGINAL_FLOOD_POLICY_DATE,DISASTER_ASSISTANCE_COVERAGE_REQUIRED,ELEVATION_DIFFERENCE,EVENT_DESIGNATION_NUMBER,FLOOD_TYPE,COMMUNITY_RATING_SYSTEM_CLASS,PROPERTY_INDICATORS,NFIP_COMMUNITY_NUMBER_CURRENT,AMOUNT_PAID_ON_BUILDING_CLAIM,CENSUS_TRACT_ID,LONGITUDE,FLOOD_EVENT,BUILDING_DAMAGE_AMOUNT,CENSUS_BLOCK_GROUP_ID,FLOOD_WATER_DEPTH,AMOUNT_PAID_ON_CONTENTS_CLAIM,FICO_NUMBER,BUILDING_REPLACEMENT_COST,NUMBER_OF_FLOORS,CURRENT_FLOOD_ZONE,ORIGINAL_CONSTRUCTION_DATE,TOTAL_BUILDING_INSURANCE_COVERAGE,NET_BUILDING_PAYMENT_AMOUNT,NFIP_RATED_COMMUNITY_NUMBER,BUILDING_PROPERTY_VALUE,TOTAL_CONTENTS_INSURANCE_COVERAGE,CONDOMINIUM_COVERAGE_TYPE,BASE_FLOOD_ELEVATION,NFIP_COMMUNITY_NAME,CAUSE_OF_DAMAGE,NON_PAYMENT_REASON_CONTENTS,POLICY_COUNT,POLICY_RATING_METHOD,OBSTRUCTION,ZIP_GEO_ID,POLICY_RATED_FLOOD_ZONE,CITY,NATIONAL_FLOOD_INSURANCE_PROGRAM_CLAIM_ID,BASEMENT_ENCLOSURE_CRAWLSPACE,NET_CONTENTS_PAYMENT_AMOUNT,LOWEST_FLOOR_ELEVATION,OCCUPANCY_TYPE,UNITS,NON_PAYMENT_REASON_BUILDING,CONTENTS_DEDUCTIBLE,CONTENT_LOCATION,FLOOD_WATER_DURATION_HOURS,DATE_OF_LOSS,BUILDING_TYPE,CONTENTS_DAMAGE_AMOUNT,COUNTY_GEO_ID,NET_ICC_PAYMENT_AMOUNT,CONTENTS_PROPERTY_VALUE,CONTENTS_REPLACEMENT_COST,AMOUNT_PAID_ON_INCREASED_COST_OF_COMPLIANCE_CLAIM,LOWEST_ADJACENT_GRADE,BUILDING_DEDUCTIBLE,STATE_GEO_ID
CYBERSYN.FEMA_NATIONAL_FLOOD_INSURANCE_PROGRAM_POLICY_INDEX|LATITUDE,LONGITUDE,ORIGINAL_FLOOD_POLICY_DATE,POLICY_RATED_FLOOD_ZONE,ELEVATION_DIFFERENCE,SUBSIDIZATION_TYPE,PROBATION_SURCHARGE,PROPERTY_PURCHASE_DATE,TOTAL_INSURANCE_PREMIUM_OF_THE_POLICY,STATE_GEO_ID,BASEMENT_ENCLOSURE_CRAWLSPACE,ICC_PREMIUM,NFIP_RATED_COMMUNITY_NUMBER,CONTENTS_DEDUCTIBLE,ADDITIONAL_CONTENTS_RATE,LOWEST_ADJACENT_GRADE,GRANDFATHERING,HFIAA_SURCHARGE,CITY,ROLLOVER_TRANSFER,POLICY_EFFECTIVE_DATE,BUILDING_DEDUCTIBLE,TOTAL_BUILDING_INSURANCE_COVERAGE,POLICY_TERMINATION_DATE,POLICY_CANCELLATION_REASON,MAP_PANEL_NUMBER,WAITING_PERIOD_TYPE,TOTAL_CONTENTS_INSURANCE_COVERAGE,BASIC_CONTENTS_RATE,RESERVE_FUND_ASSESSMENT,FEMA_REGION_ID,POLICY_CANCELLATION_DATE,POLICY_RATING_METHOD,BASE_FLOOD_ELEVATION,FEDERAL_POLICY_FEE,OCCUPANCY_TYPE,POLICY_COUNT,NATIONAL_FLOOD_INSURANCE_PROGRAM_POLICY_ID,ENDORSEMENT_EFFECTIVE_DATE,CENSUS_TRACT_ID,NFIP_COMMUNITY_NUMBER_CURRENT,COUNTY_GEO_ID,CENSUS_BLOCK_GROUP_ID,POLICY_COST,NUMBER_OF_FLOORS,PROPERTY_INDICATORS,BUILDING_REPLACEMENT_COST,BASIC_BUILDING_RATE,ENCLOSURE,DISASTER_ASSISTANCE_COVERAGE_REQUIRED,INSURANCE_TO_VALUE_RATIO,COMMUNITY_RATING_SYSTEM_CLASS,BUILDING_TYPE,NFIP_COMMUNITY_NAME,CURRENT_FLOOD_ZONE,ZIP_GEO_ID,OBSTRUCTION,LOWEST_FLOOR_ELEVATION,CONDOMINIUM_COVERAGE_TYPE,ADDITIONAL_BUILDING_RATE,CONTENT_LOCATION,MAP_PANEL_SUFFIX,ORIGINAL_CONSTRUCTION_DATE
CYBERSYN.FEMA_REGION_INDEX|FEMA_REGION_ID,LATITUDE,LONGITUDE,COVERED_STATES,ADDRESS,REGION_GEOMETRY,FEMA_REGION_NAME,CITY,STATE_GEO_ID
