[TABLES]
## GEO_US_BOUNDARIES.ADJACENT_STATES
state: TEXT | NULL
neighbors_fips_code: VARIANT | NULL
state_fips_code: TEXT | NULL
state_name: TEXT | NULL
neighbors_state: VARIANT | NULL

## GEO_US_BOUNDARIES.METROPOLITAN_DIVISIONS
area_land_meters: FLOAT | NULL
name: TEXT | NULL
csa_code: TEXT | NULL
internal_point_geom: BINARY | NULL
mtfcc_feature_class_code: TEXT | NULL
internal_point_latitude: FLOAT | NULL
geo_id: TEXT | NULL
area_water_meters: FLOAT | NULL
internal_point_longitude: FLOAT | NULL
lsad_code: TEXT | NULL
metdiv_geom: BINARY | NULL
cbsa_code: TEXT | NULL
metdiv_code: TEXT | NULL
lsad_name: TEXT | NULL

## GEO_US_BOUNDARIES.CBSA
cbsa_fips_code: TEXT | NULL
name: TEXT | NULL
area_water_meters: FLOAT | NULL
cbsa_geom: BINARY | NULL
csa_geo_id: TEXT | NULL
lsad_code: TEXT | NULL
msa_indicator: TEXT | NULL
area_land_meters: FLOAT | NULL
internal_point_geom: BINARY | NULL
lsad_name: TEXT | NULL
internal_point_longitude: FLOAT | NULL
internal_point_latitude: FLOAT | NULL
mtfcc_feature_class_code: TEXT | NULL
geo_id: TEXT | NULL

## GEO_US_BOUNDARIES.CONGRESS_DISTRICT_116
lsad_name: TEXT | NULL
lsad_code: TEXT | NULL
congress_session: TEXT | NULL
int_point_lon: FLOAT | NULL
district_geom: BINARY | NULL
state_fips_code: TEXT | NULL
geo_id: TEXT | NULL
mtfcc_feature_class_code: TEXT | NULL
area_water_meters: NUMBER | NULL
int_point_lat: FLOAT | NULL
int_point_geom: BINARY | NULL
district_fips_code: TEXT | NULL
area_land_meters: NUMBER | NULL
functional_status: BOOLEAN | NULL

## GEO_US_BOUNDARIES.CSA
internal_point_lon: FLOAT | NULL
internal_point_geom: BINARY | NULL
geo_id: TEXT | NULL
internal_point_lat: FLOAT | NULL
lsad_name: TEXT | NULL
area_water_meters: FLOAT | NULL
area_land_meters: FLOAT | NULL
msa_lsad_code: TEXT | NULL
mtfcc_feature_class_code: TEXT | NULL
name: TEXT | NULL
csa_geom: BINARY | NULL
csa_code: TEXT | NULL

## GEO_US_BOUNDARIES.NATIONAL_OUTLINE
aff_geo_id: TEXT | NULL
us_outline_geom: BINARY | NULL
name: TEXT | NULL
geo_id: TEXT | NULL

## GEO_US_BOUNDARIES.RAILWAYS
railway_geom: TEXT | NULL
mtfcc_feature_class_code: TEXT | NULL
geo_id: NUMBER | NULL
full_name: TEXT | NULL

## GEO_US_BOUNDARIES.COUNTIES
cbsa_fips_code: TEXT | NULL
county_gnis_code: TEXT | NULL
lsad_code: TEXT | NULL
fips_class_code: TEXT | NULL
mtfcc_feature_class_code: TEXT | NULL
int_point_lon: FLOAT | NULL
county_geom: BINARY | NULL
geo_id: TEXT | NULL
lsad_name: TEXT | NULL
int_point_geom: BINARY | NULL
county_fips_code: TEXT | NULL
area_water_meters: NUMBER | NULL
functional_status: TEXT | NULL
area_land_meters: NUMBER | NULL
csa_fips_code: TEXT | NULL
state_fips_code: TEXT | NULL
county_name: TEXT | NULL
met_div_fips_code: TEXT | NULL
int_point_lat: FLOAT | NULL

## GEO_US_BOUNDARIES.NWS_FORECAST_REGIONS
fe_area: TEXT | NULL
name: TEXT | NULL
cwa: TEXT | NULL
shape_geometry: BINARY | NULL
shortname: TEXT | NULL
lon: FLOAT | NULL
