[TABLES]
## GEO_OPENSTREETMAP.HISTORY_CHANGESETS
osm_timestamp_min: NUMBER | Minimum timestamp of objects contained in this changeset.
ways: VARIANT | Ways that are part of this way
id: NUMBER | Changeset ID.
osm_timestamp_max: NUMBER | Maximum timestamp of objects contained in this changeset.
relations: VARIANT | Relations that are part of this way
nodes: VARIANT | Nodes that are part of this way

## GEO_OPENSTREETMAP.PLANET_RELATIONS
visible: BOOLEAN | NULL
osm_timestamp: NUMBER | NULL
id: NUMBER | NULL
username: TEXT | NULL
all_tags: VARIANT | NULL
geometry: BINARY | NULL
members: VARIANT | NULL
changeset: NUMBER | NULL
version: NUMBER | NULL

## GEO_OPENSTREETMAP.HISTORY_RELATIONS
username: TEXT | NULL
members: VARIANT | NULL
osm_timestamp: NUMBER | NULL
id: NUMBER | NULL
visible: BOOLEAN | NULL
version: NUMBER | NULL
geometry: BINARY | NULL
all_tags: VARIANT | NULL
changeset: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_LAYERS
layer_code: NUMBER | NULL
osm_id: NUMBER | NULL
osm_timestamp: NUMBER | NULL
osm_way_id: NUMBER | NULL
layer_class: TEXT | NULL
all_tags: VARIANT | NULL
layer_name: TEXT | NULL
geometry: BINARY | NULL
gdal_type: TEXT | NULL
osm_version: NUMBER | NULL

## GEO_OPENSTREETMAP.HISTORY_NODES
LONGITUDE: NUMBER | NULL
ID: NUMBER | NULL
CHANGESET: NUMBER | NULL
GEOMETRY: BINARY | NULL
USERNAME: TEXT | NULL
ALL_TAGS: VARIANT | NULL
VERSION: NUMBER | NULL
OSM_TIMESTAMP: NUMBER | NULL
VISIBLE: BOOLEAN | NULL
LATITUDE: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_FEATURES
geometry: BINARY | NULL
osm_timestamp: NUMBER | NULL
all_tags: VARIANT | NULL
feature_type: TEXT | NULL
osm_version: NUMBER | NULL
osm_id: NUMBER | NULL
osm_way_id: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_FEATURES_POINTS
geometry: BINARY | NULL
osm_timestamp: NUMBER | NULL
osm_way_id: NUMBER | NULL
osm_id: NUMBER | NULL
osm_version: NUMBER | NULL
all_tags: VARIANT | NULL

## GEO_OPENSTREETMAP.HISTORY_LAYERS
layer_name: TEXT | NULL
osm_id: NUMBER | NULL
all_tags: VARIANT | NULL
osm_way_id: NUMBER | NULL
geometry: BINARY | NULL
gdal_type: TEXT | NULL
layer_code: NUMBER | NULL
osm_timestamp: NUMBER | NULL
osm_version: NUMBER | NULL
layer_class: TEXT | NULL

## GEO_OPENSTREETMAP.PLANET_NODES
all_tags: VARIANT | NULL
osm_timestamp: NUMBER | NULL
changeset: NUMBER | NULL
visible: BOOLEAN | NULL
geometry: BINARY | NULL
latitude: NUMBER | NULL
username: TEXT | NULL
version: NUMBER | NULL
longitude: NUMBER | NULL
id: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_WAYS
version: NUMBER | NULL
geometry: BINARY | NULL
visible: BOOLEAN | NULL
username: TEXT | NULL
all_tags: VARIANT | NULL
osm_timestamp: NUMBER | NULL
nodes: VARIANT | NULL
id: NUMBER | NULL
changeset: NUMBER | NULL

## GEO_US_CENSUS_PLACES.PLACES_NORTH_CAROLINA
state_fips_code: TEXT | Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016
place_id: TEXT | Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code
place_geom: BINARY | Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz
principal_city_msa: BOOLEAN | Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa
area_land_meters: NUMBER | Area of the place that consists of land, in square meters
internal_point_lat: FLOAT | Latitude of the place's internal point, which is the point at or closest to the place's geographic center
internal_point_geom: BINARY | Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center
place_name: TEXT | Full text name of the place
principal_city_ne: BOOLEAN | Indicates if a place is the principal city for a New England city and town area
place_gnis_code: TEXT | Current place GNIS code
functional_status: TEXT | Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html
lsad_code: TEXT | Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes
area_water_meters: NUMBER | Area of the place that consists of water, in square meters
internal_point_lon: FLOAT | Longitude of the place's internal point, which is the point at or closest to the place's geographic center
fips_class_code: TEXT | Current FIPS class code
name_lsad: TEXT | Current name and the translated legal/statistical area description for place
place_fips_code: TEXT | Five-digit FIPS code for the given place

## GEO_US_CENSUS_PLACES.PLACES_MASSACHUSETTS
place_gnis_code: TEXT | Current place GNIS code
internal_point_lon: FLOAT | Longitude of the place's internal point, which is the point at or closest to the place's geographic center
place_id: TEXT | Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code
place_geom: BINARY | Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz
principal_city_ne: BOOLEAN | Indicates if a place is the principal city for a New England city and town area
functional_status: TEXT | Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html
area_water_meters: NUMBER | Area of the place that consists of water, in square meters
name_lsad: TEXT | Current name and the translated legal/statistical area description for place
place_name: TEXT | Full text name of the place
fips_class_code: TEXT | Current FIPS class code
area_land_meters: NUMBER | Area of the place that consists of land, in square meters
place_fips_code: TEXT | Five-digit FIPS code for the given place
state_fips_code: TEXT | Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016
principal_city_msa: BOOLEAN | Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa
lsad_code: TEXT | Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes
internal_point_lat: FLOAT | Latitude of the place's internal point, which is the point at or closest to the place's geographic center
internal_point_geom: BINARY | Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center

## GEO_US_CENSUS_PLACES.PLACES_DISTRICT_OF_COLUMBIA
principal_city_msa: BOOLEAN | Indicates if a place is the principal city for a metropolitan or micropolitan statistical area. The polygons defining metropolitan and micropolitan statistical areas are available in bigquery-public-data.geo_us_boundaries.us_msa
place_gnis_code: TEXT | Current place GNIS code
internal_point_geom: BINARY | Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center
internal_point_lon: FLOAT | Longitude of the place's internal point, which is the point at or closest to the place's geographic center
functional_status: TEXT | Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html
lsad_code: TEXT | Current legal/statistical area description code for each place. This helps differentiate between Census Designated Places (CDPs), which are statistical entities) and incorporated places, which are legal entities, among other differences. Census LSAD codes and their descriptions can be found in bigquery-public-data.census_lsad_codes.lsad_codes
area_water_meters: NUMBER | Area of the place that consists of water, in square meters
internal_point_lat: FLOAT | Latitude of the place's internal point, which is the point at or closest to the place's geographic center
place_fips_code: TEXT | Five-digit FIPS code for the given place
area_land_meters: NUMBER | Area of the place that consists of land, in square meters
name_lsad: TEXT | Current name and the translated legal/statistical area description for place
place_name: TEXT | Full text name of the place
state_fips_code: TEXT | Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016
place_geom: BINARY | Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz
place_id: TEXT | Unique idenifier for each place. This is a concatenation of the current state FIPS code and the place FIPS code
principal_city_ne: BOOLEAN | Indicates if a place is the principal city for a New England city and town area
fips_class_code: TEXT | Current FIPS class code

## GEO_US_CENSUS_PLACES.PLACES_WASHINGTON
place_geom: BINARY | Geographical representation of the polygon that defines the perimeter of each place. This column should be used as the GEO column for visualization in BigQuery Geo Viz
place_gnis_code: TEXT | Current place GNIS code
internal_point_lon: FLOAT | Longitude of the place's internal point, which is the point at or closest to the place's geographic center
functional_status: TEXT | Current functional status code. A full list of possible results can be found: https://www.census.gov/geo/reference/funcstat.html
state_fips_code: TEXT | Two digit FIPS code that uniquely identifies each state. State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: bigquery-public-data.census_fips_codes.states_2016
name_lsad: TEXT | Current name and the translated legal/statistical area description for place
internal_point_geom: BINARY | Geographic representation of the state's internal point, which is the point at or closest to the state's geographic center
