[TABLES]
## WORLDPOP.POPULATION_GRID_1KM
alpha_3_code: TEXT | NULL
last_updated: DATE | NULL
longitude_centroid: FLOAT | NULL
latitude_centroid: FLOAT | NULL
geo_id: TEXT | NULL
population: FLOAT | NULL
country_name: TEXT | NULL
geog: BINARY | NULL

## GEO_OPENSTREETMAP.HISTORY_CHANGESETS
osm_timestamp_min: NUMBER | Minimum timestamp of objects contained in this changeset.
ways: VARIANT | Ways that are part of this way
id: NUMBER | Changeset ID.
osm_timestamp_max: NUMBER | Maximum timestamp of objects contained in this changeset.
relations: VARIANT | Relations that are part of this way
nodes: VARIANT | Nodes that are part of this way

## GEO_OPENSTREETMAP.PLANET_RELATIONS
visible: BOOLEAN | NULL
osm_timestamp: NUMBER | NULL
id: NUMBER | NULL
username: TEXT | NULL
all_tags: VARIANT | NULL
geometry: BINARY | NULL
members: VARIANT | NULL
changeset: NUMBER | NULL
version: NUMBER | NULL

## GEO_OPENSTREETMAP.HISTORY_RELATIONS
username: TEXT | NULL
members: VARIANT | NULL
osm_timestamp: NUMBER | NULL
id: NUMBER | NULL
visible: BOOLEAN | NULL
version: NUMBER | NULL
geometry: BINARY | NULL
all_tags: VARIANT | NULL
changeset: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_LAYERS
layer_code: NUMBER | NULL
osm_id: NUMBER | NULL
osm_timestamp: NUMBER | NULL
osm_way_id: NUMBER | NULL
layer_class: TEXT | NULL
all_tags: VARIANT | NULL
layer_name: TEXT | NULL
geometry: BINARY | NULL
gdal_type: TEXT | NULL
osm_version: NUMBER | NULL

## GEO_OPENSTREETMAP.HISTORY_NODES
all_tags: VARIANT | NULL
changeset: NUMBER | NULL
longitude: NUMBER | NULL
username: TEXT | NULL
latitude: NUMBER | NULL
id: NUMBER | NULL
osm_timestamp: NUMBER | NULL
geometry: BINARY | NULL
visible: BOOLEAN | NULL
version: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_FEATURES
geometry: BINARY | NULL
osm_timestamp: NUMBER | NULL
all_tags: VARIANT | NULL
feature_type: TEXT | NULL
osm_version: NUMBER | NULL
osm_id: NUMBER | NULL
osm_way_id: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_FEATURES_POINTS
geometry: BINARY | NULL
osm_timestamp: NUMBER | NULL
osm_way_id: NUMBER | NULL
osm_id: NUMBER | NULL
osm_version: NUMBER | NULL
all_tags: VARIANT | NULL

## GEO_OPENSTREETMAP.HISTORY_LAYERS
layer_name: TEXT | NULL
osm_id: NUMBER | NULL
all_tags: VARIANT | NULL
osm_way_id: NUMBER | NULL
geometry: BINARY | NULL
gdal_type: TEXT | NULL
layer_code: NUMBER | NULL
osm_timestamp: NUMBER | NULL
osm_version: NUMBER | NULL
layer_class: TEXT | NULL

## GEO_OPENSTREETMAP.PLANET_NODES
all_tags: VARIANT | NULL
osm_timestamp: NUMBER | NULL
changeset: NUMBER | NULL
visible: BOOLEAN | NULL
latitude: NUMBER | NULL
geometry: BINARY | NULL
username: TEXT | NULL
version: NUMBER | NULL
longitude: NUMBER | NULL
id: NUMBER | NULL

## GEO_OPENSTREETMAP.PLANET_WAYS
version: NUMBER | NULL
geometry: BINARY | NULL
username: TEXT | NULL
visible: BOOLEAN | NULL
all_tags: VARIANT | NULL
osm_timestamp: NUMBER | NULL
nodes: VARIANT | NULL
id: NUMBER | NULL
changeset: NUMBER | NULL
