[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba26
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba33
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
beta_value: FLOAT | Represents the ratio between the methylated array intensity and total array intensity, falls between 0 (lower levels of methylation) and 1 (higher levels of methylation)
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-18
probe_id: TEXT | Unique ID for the array probe associated with a CpG site

## TCGA_VERSIONED.SOMATIC_MUTATION_HG19_MC3_2017_02
Codons: TEXT | Alternative codons with the variant base in upper case
AA_MAF: TEXT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
CANONICAL: TEXT | A flag (YES) indicating that the VEP-based canonical transcript, the longest translation, was used for this gene, if not, the value is null
dbSNP_RS: TEXT | Rs-IDs from the dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases
PUBMED: TEXT | Pubmed ID(s) of publications that cite existing variant
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
Existing_variation: TEXT | Known identifier of existing variation
Variant_Classification: TEXT | Translational effect of variant allele
AMR_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
STRAND: NUMBER | DNA strand (1 or -1) on which the transcript/feature lies
FILTER: TEXT | Copied from input VCF. This includes filters implemented directly by the variant caller and other external software used in the DNA-Seq pipeline
VARIANT_CLASS: TEXT | Sequence Ontology variant class
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
HGVSp: TEXT | Protein sequence of the variant in HGVS recommended format. p.= signifies no change in the protein
CCDS: TEXT | CCDS identifier for this transcript, where applicable
INTRON: TEXT | Intron number (out of total number)
End_Position: NUMBER | End position, in 1-based integer coordinates
Protein_position: TEXT | Relative position of affected amino acid in protein. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
EXON: TEXT | Exon number (out of total number)
Transcript_ID: TEXT | Ensembl ID of the transcript affected by the variant
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
n_alt_count: NUMBER | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
Feature: TEXT | Stable Ensembl ID of feature (transcript, regulatory, motif)
UNIPARC: TEXT | UniParc identifier of protein product
DBVS: TEXT | |-delimited list eg byCluster|by1000G
TREMBL: TEXT | UniProtKB/TrEMBL identifier of protein product
GMAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes
Amino_acids: TEXT | Amino acid substitution caused by the mutation, only given if the variation affects the protein-coding sequence
EA_MAF: TEXT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
Consequence: TEXT | Consequence type of this variant; sequence ontology terms
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
cDNA_position: TEXT | Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA
all_effects: TEXT | A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])
Exon_Number: TEXT | Exon number (out of total number)
EUR_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
Feature_type: TEXT | Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (or blank)
HGVSc: TEXT | Coding sequence of the variant in HGVS recommended format
t_ref_count: NUMBER | Read depth supporting the reference allele in tumor BAM
AFR_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)
EAS_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
Hugo_Symbol: TEXT | HUGO symbol for the gene (HUGO symbols are always in all caps). Unknown is used for regions that do not correspond to a gene
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01
n_ref_count: NUMBER | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
IMPACT: TEXT | Impact modifier for the consequence type
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
SIFT: TEXT | SIFT prediction and/or score, with both given as prediction (score)
Gene: TEXT | The gene symbol. In this table, gene symbol is simulated data e.g. ENSG00000251562
PolyPhen: TEXT | PolyPhen prediction and/or score
