[TABLES]
## GDC_METADATA.REL16_FILEDATA_LEGACY
center_name: TEXT | Center name, eg BCM, BI, WUGSC
index_file_name: TEXT | Where available, GDC file name for index file
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc
associated_entities__case_gdc_id: TEXT | GDC case uuid for associated case(s)
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
archive_submitter_id: TEXT | Original archive submitter name, eg  nationwidechildrens.org_BRCA.bio.Level_1.56
archive_state: TEXT | Archive state
associated_entities__entity_gdc_id: TEXT | GDC entity uuid for associated entity(ies)
project_name: TEXT | Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc
file_name: TEXT | Name of file at the GDC
program_name: TEXT | Program name, eg TCGA or TARGET
associated_entities__entity_type: TEXT | Associated entity type, eg   aliquot   or   case
project_disease_type: TEXT | The type of disease studied by the project; e.g. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc
metadata_file_type: TEXT | Type of metadata file, eg mage-tab
file_type: TEXT | File Type  -- eg aligned_reads , simple_somatic_mutation , gene_expression , etc
archive_gdc_id: TEXT | GDC archive UUID
md5sum: TEXT | Md5sum for GDC data file
file_submitter_id: TEXT | Original submitter file id (eg CGHub analysis_id)
index_file_gdc_id: TEXT | Where available, GDC file uuid for index file
updated_datetime: TEXT | Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00
center_type: TEXT | One of CGC, GSC, BCR, COM (or null)
file_tags: TEXT | Semicolon-delimited list of file tags, eg  coverage , or  hg19;nocnv  , etc
file_id: TEXT | GDC file identifier. This is a duplicate of file_gdc_id field found in some tables.
access: TEXT | Data accessibility policy (open or controlled)
metadata_file_name: TEXT | Name of GDC metadata file
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
metadata_file_id: TEXT | GDC file UUID for metadata (eg mage-tab) file
dbName: TEXT | Referring to the default/main database at the GDC. In this table, this field is always legacy.
created_datetime: TEXT | Timestamp of creation, eg 2016-10-27T21:58:12.297090-05:09
project_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000186
center_short_name: TEXT | Center abbreviation, eg WUSM
index_file_size: NUMBER | Where available, size of the index file in bytes
associated_entities__entity_submitter_id: TEXT | Submitter id for associated entity(ies)
program_dbgap_accession_number: TEXT | Program dbGaP accession number, eg phs000178
file_size: NUMBER | The size of the file measured in bytes
center_code: TEXT | TCGA codes for the Professional Organization or Group (Center) which has submitted the data, more info: https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/center-codes
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba3
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
platform: TEXT | Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.9
file_state: TEXT | File state -- either live or submitted
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
case_gdc_id: TEXT | GDC unique identifier
metadata_file_size: TEXT | Size of metadata file
archive_revision: NUMBER | Archive revision number

## GDC_METADATA.REL13_ALIQUOT2CASEIDMAP
