[STANDALONE]
## SAN_FRANCISCO.BIKESHARE_STATIONS
latitude: FLOAT | Latitude | eg=[37.342725, 37.330165]
dockcount: NUMBER | Number of total docks at station | eg=[15]
landmark: TEXT | City (San Francisco, Redwood City, Palo Alto, Mountain View, San Jose) | eg=["San Jose"]
installation_date: DATE | Original date that station was installed. If station was moved, it is noted below. | eg=["2014-04-09", "2013-08-05"]
longitude: FLOAT | Longitude | eg=[-121.895617, -121.885831]
station_id: NUMBER | Station ID number | eg=[84, 8]
name: TEXT | Name of station | eg=["Ryland Park", "San Salvador at 1st"]

## SAN_FRANCISCO.BIKESHARE_STATUS
station_id: NUMBER | Station ID number | eg=[82]
bikes_available: NUMBER | Number of available bikes | eg=[10]
time: NUMBER | Date and time, PST | eg=[1426254602000000, 1407321243000000]
docks_available: NUMBER | Number of available docks | eg=[5]

## SAN_FRANCISCO.BIKESHARE_TRIPS
start_station_name: TEXT | Station name for start station | eg=["Mechanics Plaza (Market at Battery)"]
trip_id: NUMBER | Numeric ID of bike trip | eg=[1214997, 528056]
subscriber_type: TEXT | Type of the Subscriber | eg=["Subscriber"]
end_date: NUMBER | NULL | eg=[1464180300000000, 1415086920000000]
bike_number: NUMBER | NULL | eg=[578, 878]
end_station_id: NUMBER | Numeric reference for end station | eg=[76]
start_station_id: NUMBER | Numeric reference for start station | eg=[75]
zip_code: TEXT | NULL | eg=["94002", "94010"]
duration_sec: NUMBER | NULL | eg=[300, 343]
start_date: NUMBER | NULL | eg=[1464180000000000, 1415086560000000]
end_station_name: TEXT | Station name for end station | eg=["Market at 4th"]

## SAN_FRANCISCO.FILM_LOCATIONS
actor_3: TEXT | NULL | eg=["", "Spencer Tracy"]
locations: TEXT | NULL | eg=["20th and Folsom Streets", "Golden Gate Park"]
fun_facts: TEXT | NULL | eg=["", "During San Francisco's Gold Rush era, the Park was part of an area designated as the \"Great Sand Waste\"."]
director: TEXT | NULL | eg=["Charles Chaplin", "W.S. Van Dyke"]
title: TEXT | NULL | eg=["A Jitney Elopement", "San Francisco"]
actor_1: TEXT | NULL | eg=["Charles Chaplin", "Clark Gable"]
distributor: TEXT | NULL | eg=["General Film Company", "Metro-Goldwyn Mayer"]
production_company: TEXT | NULL | eg=["The Essanay Film Manufacturing Company", "Metro-Goldwyn Mayer"]
actor_2: TEXT | NULL | eg=["Edna Purviance", "Jeanette MacDonald"]
writer: TEXT | NULL | eg=["Charles Chaplin", "Anita Loos"]
release_year: NUMBER | NULL | eg=[1915, 1936]

## SAN_FRANCISCO.SFFD_SERVICE_CALLS
address: TEXT | Address of midblock point associated with incident (obfuscated address to protect caller privacy) | eg=["800 Block of MARKET ST"]
final_priority: NUMBER | Final call priority (Code 2: Non-Emergency or Code 3:Emergency). | eg=[3]
call_date: DATE | Date the call is received at the 911 Dispatch Center. Used for reporting purposes. | eg=["2016-01-18", "2016-08-08"]
fire_prevention_district: TEXT | Bureau of Fire Prevention District associated with this address | eg=["3"]
unit_type: TEXT | Unit type | eg=["MEDIC"]
original_priority: TEXT | Initial call priority (Code 2: Non-Emergency or Code 3:Emergency). | eg=["3"]
neighborhood_district: TEXT | Neighborhood District associated with this address, boundaries available here: https://data.sfgov.org/d/p5b7-5n3h | eg=[""]
response_timestamp: NUMBER | Date and time this unit acknowledges the dispatch and records that the unit is en route to the location of the call. | eg=[1453129922000000, 1470675160000000]
available_timestamp: NUMBER | Date and time this unit is not longer assigned to this call and it is available for another dispatch. | eg=[1453133671000000, 1470679131000000]
battalion: TEXT | Emergency Response District (There are 9 Fire Emergency Response Districts) | eg=["B03"]
als_unit: BOOLEAN | Does this unit includes ALS (Advance Life Support) resources? Is there a paramedic in this unit? | eg=[true]
priority: TEXT | Call priority (Code 2: Non-Emergency or Code 3:Emergency). | eg=["3"]
hospital_timestamp: NUMBER | If this unit is an ambulance, date and time the unit arrives to the hospital. | eg=[1453132394000000.0, 1470677509000000.0]
received_timestamp: NUMBER | Date and time of call is received at the 911 Dispatch Center. | eg=[1453129818000000, 1470675077000000]
zipcode_of_incident: TEXT | Zipcode of incident | eg=["94102"]
incident_number: NUMBER | A unique 8-digit number assigned by DEM to this Fire incident. | eg=[16007270, 16087343]
call_number: NUMBER | A unique 9-digit number assigned by the 911 Dispatch Center (DEM) to this call. These number are used for both Police and Fire calls. | eg=[160182005, 162212479]
supervisor_district: TEXT | Supervisor District associated with this address | eg=["3"]
call_type_group: TEXT | Call types are divided into four main groups: Fire, Alarm, Potential Life Threatening and Non Life Threatening. | eg=["Potentially Life-Threatening"]
call_type: TEXT | Type of call the incident falls into. See the list below. | eg=["Medical Incident"]
box: TEXT | Fire box associated with the address of the incident. A box is the smallest area used to divide the City. Each box is associated with a unique unit dispatch order. The City is divided into more than 2,400 boxes. | eg=["2209"]
longitude: FLOAT | Longitude of the address | eg=[-122.407785146121]
unit_sequence_in_call_dispatch: NUMBER | A number that indicates the order this unit was assigned to this call | eg=[2, 1]
number_of_alarms: NUMBER | Number of alarms associated with the incident. This is a number between 1 and 5. | eg=[1]
entry_timestamp: NUMBER | Date and time the 911 operator submits the entry of the initical call information into the CAD system | eg=[1453129884000000, 1470675108000000]
city: TEXT | City of incident | eg=["San Francisco", "SF"]
station_area: TEXT | Fire Station First Response Area associated with the address of the incident | eg=["01"]
