[TABLES]
## PUBLIC.USERS_BEHAVIORS_APP_FIRSTSESSION_VIEW
SESSION_ID: TEXT | NULL | eg=["UJ0vU9TJ8QO0lf", "7nvds7kQcXnugZ"]
LANGUAGE: TEXT | NULL | eg=["en"]
OS_VERSION: TEXT | NULL | eg=["KE7VWBiBtIbCd0", "lkTftAp6nSAvf7"]
APP_ID: TEXT | NULL | eg=["WleeR6PnBPb", "cavgwlQbKmE"]
APP_API_ID: TEXT | NULL | eg=["T7iEJllfGQKWRc", "SjG0DFmtDIUkmg"]
COUNTRY: TEXT | NULL | eg=["US"]
SDK_VERSION: TEXT | NULL | eg=["dVJs24SX1D5CZ5", "cfgcrLoLzZtJhG"]
EXTERNAL_USER_ID: TEXT | NULL | eg=["6NEzJ2gfV24", "eTyLRMRSIx4"]
PLATFORM: TEXT | NULL | eg=["ios"]
DEVICE_ID: TEXT | NULL | eg=["zetNVDCa390JZx", "f6M23FNftpHRw8"]
DEVICE_MODEL: TEXT | NULL | eg=["HUAWEI P30 PRO", "APPLE IPHONE XS MAX"]
SF_CREATED_AT: TIMESTAMP_LTZ | NULL | eg=["2021-12-14 10:19:25.311000-08:00", "2021-12-14 10:16:20.010000-08:00"]
APP_GROUP_API_ID: TEXT | NULL | eg=["HLbaVxM4YEW0jA", "aBxLy8C4aqFSEC"]
TIME: NUMBER | NULL | eg=[1691441546, 1692494572]
USER_ID: TEXT | NULL | eg=["1YYUE03tB1L9DaB", "0CsBOf51SW5fRoC"]
APP_GROUP_ID: TEXT | NULL | eg=["OkIYT1HbF7u", "JyWFOSKn8bq"]
TIMEZONE: TEXT | NULL | eg=["America/Denver", "Indian/Chagos"]
GENDER: TEXT | NULL | eg=["F", "M"]
ID: TEXT | NULL | eg=["s1pTUCFiBN8ex0", "BJ9sc1b2b8p93x"]

## PUBLIC.USERS_MESSAGES_SMS_DELIVERY_VIEW
TIME: NUMBER | NULL | eg=[1691312513, 1645012604]
SF_CREATED_AT: TIMESTAMP_LTZ | NULL | eg=["2021-12-14 11:16:32.946000-08:00", "2021-12-14 11:17:45.318000-08:00"]
TIME_CUSTOM_ATTRIBUTES: ARRAY | NULL | eg=[[1691313082,1691313111,1691314390,1691315180], [1645010134,1645009207,1645011443,1645010317]]
CANVAS_ID: TEXT | NULL | eg=["wD5d6cctisM1Jrh"]
EXTERNAL_USER_ID: TEXT | NULL | eg=["WC5rnzke8bf", "HT01XrcKPcb"]
SEND_ID: TEXT | NULL | eg=["9emj20SkcYkTch", "gBrbVKBKEKHgBC"]
STRING_CUSTOM_ATTRIBUTES: ARRAY | NULL | eg=[["bMAFPoYIyUNsEB","i5j6D5BUjadspE","Wtlk0QIxHVMyHR","85iHoruYlUTCwm"], ["5YjEpNFAolJWr3","DTKvbS1BRLRhYN","DthrF2dTSJvgB6","oEismfA7EO0fRY"]]
APP_GROUP_API_ID: TEXT | NULL | eg=["ToYjiNSX2uIp3r", "8RxPHAfvrT1F2Y"]
CANVAS_STEP_API_ID: TEXT | NULL | eg=["svbprlFJ6ykbbra"]
CAMPAIGN_API_ID: TEXT | NULL | eg=["hujHkHixYkguu0C", "WuEuj3BPE8hb9Ko"]
ID: TEXT | NULL | eg=["yrTVLBvgWIk1bA", "PoVI6BpLWkaVuq"]
CANVAS_STEP_MESSAGE_VARIATION_ID: TEXT | NULL | eg=["icVbWBMRfHb7Kg", "zYFvEsoWpmh2gI"]
FROM_PHONE_NUMBER: TEXT | NULL | eg=["3GykDEc", "Cxkch72"]
DEVICE_ID: TEXT | NULL | eg=["zhAvptrZdVeEjZ", "E2fxyqWQGekRe3"]
CANVAS_API_ID: TEXT | NULL | eg=["cEgTFQoMsG5oqOx"]
FLOAT_CUSTOM_ATTRIBUTES: ARRAY | NULL | eg=[[1691313582.0,1691315158.0,1691312829.0,1691314324.0], [1645011942.0,1645009641.0,1645010149.0,1645010188.0]]
BOOLEAN_CUSTOM_ATTRIBUTES: ARRAY | NULL | eg=[[true,true,true,true]]
COUNTRY: TEXT | NULL | eg=["US"]
MESSAGE_VARIATION_ID: TEXT | NULL | eg=["9VoLRgrVdBc2PNE", "g8Sy5sU2R8LAvmT"]
DISPATCH_ID: TEXT | NULL | eg=["re1cV2NjggJXEj", "yLivJovZWiLeNq"]
TIMEZONE: TEXT | NULL | eg=["Indian/Chagos", "Asia/Singapore"]
LANGUAGE: TEXT | NULL | eg=["en"]
CAMPAIGN_ID: TEXT | NULL | eg=["UwWrZG5io195AWG", "vtEbsCxRlyliEQZ"]
CANVAS_VARIATION_API_ID: TEXT | NULL | eg=["olo92wsuOQyP1G", "4DFuGvmklIalMg"]
APP_GROUP_ID: TEXT | NULL | eg=["OkIYT1HbF7u", "JyWFOSKn8bq"]
CANVAS_STEP_ID: TEXT | NULL | eg=["VUCydlKkEeJCEey"]
CANVAS_STEP_MESSAGE_VARIATION_API_ID: TEXT | NULL | eg=["0TWgU3WaQ6JYiK", "JX6G0l1wVUInp2"]
TO_PHONE_NUMBER: TEXT | NULL | eg=["dT4kX2SukXP0yV", "TRjp53Fq9dzj0w"]
MESSAGE_VARIATION_API_ID: TEXT | NULL | eg=["NcD0UmSPOmyMi8", "I51n105fJRbRR9"]
USER_ID: TEXT | NULL | eg=["2gpR2JqxhIA1OG3", "1lmnK1G59XVLMMc"]
SUBSCRIPTION_GROUP_ID: TEXT | NULL | eg=["K1RNSW7KVuYyG0", "WyMxmgkhCfL4Xm"]
GENDER: TEXT | NULL | eg=["M", "F"]
NUMBER_CUSTOM_ATTRIBUTES: ARRAY | NULL | eg=[[1691315215.0,1691314511.0,1691312982.0,1691314824.0], [1645010237.0,1645011745.0,1645011303.0,1645012649.0]]
CANVAS_VARIATION_ID: TEXT | NULL | eg=["UtiVwuZ215u6qov"]
SUBSCRIPTION_GROUP_API_ID: TEXT | NULL | eg=["w7h7jn3MgVMx1E", "BCG5aQEKd32cii"]

## PUBLIC.USERS_MESSAGES_WEBHOOK_SEND_VIEW
