[TABLES]
## FDA_FOOD.FOOD_EVENTS
products_role: TEXT | NULL | eg=["SUSPECT", "CONCOMITANT"]
products_industry_name: TEXT | NULL | eg=["Egg/Egg Prod", "Vit/Min/Prot/Unconv Diet(Human/Animal)"]
date_created: DATE | NULL | eg=["2008-10-14", "2010-10-05"]
outcomes: TEXT | NULL | eg=["Visited Emergency Room", "Other Serious or Important Medical Event"]
consumer_age_unit: TEXT | NULL
reactions: TEXT | NULL | eg=["\"BARRETTS OESOPHAGUS\", DYSPHAGIA, DYSPNOEA, HYPERSENSITIVITY, MUCOUS MEMBRANE DISORDER", "\"BASEDOWS DISEASE\""]
products_industry_code: TEXT | NULL | eg=["15", "54"]
consumer_gender: TEXT | NULL | eg=["Male", "Female"]
products_brand_name: TEXT | NULL | eg=["EGG BEATERS EGG SUBSTITUTE", "ONE A DAY WOMEN'S"]
consumer_age: FLOAT | NULL
report_number: TEXT | NULL | eg=["109790", "131807"]
date_started: DATE | NULL

## FDA_FOOD.FOOD_ENFORCEMENT
initial_firm_notification: TEXT | NULL | eg=["E-Mail"]
code_info: TEXT | NULL | eg=["Lot 81 14055 T  Expiration: Nov 25 18", "Manufacturer Lot #2633;  Expiration Date: 07/25"]
product_description: TEXT | NULL | eg=["Orange plus Citrus Beverage from Concentrate", "Brand Name: SUPREX Plant Based Nutrition. Product Name: Carb & Sugar Block.  Product Size: 120 Vegetable Cellulose Capsules per bottle. Container description: White Plastic Bottle 300CC with white cap sealed with clear plastic Total Package size: Master Case with 81 Bottles containing 120 capsules each one. Lot no. 2633, Exp. 07/25 Manufactured in the US"]
product_type: TEXT | NULL | eg=["Food"]
reason_for_recall: TEXT | NULL | eg=["The product may be contaminated with a sanitizing solution", "FDA lab analysis of product sampled revealed Chromium content was determined subpotent as 16 mcg/serving or 16% of declared."]
event_id: NUMBER | NULL | eg=[81245, 93627]
recall_initiation_date: DATE | NULL | eg=["2018-10-04", "2023-12-07"]
center_classification_date: DATE | NULL | eg=["2018-11-06", "2024-01-09"]
status: TEXT | NULL | eg=["Terminated"]
more_code_info: TEXT | NULL | eg=["nan"]
recalling_firm: TEXT | NULL | eg=["Campofresco Corp.", "Vita 360, LLC"]
address_2: TEXT | NULL | eg=["nan", "Bo. Palmas"]
distribution_pattern: TEXT | NULL | eg=["US Consignees only. No government nor foreign consignees.", "Domestic distribution only throughout Puerto Rico"]
city: TEXT | NULL | eg=["Santa Isabel", "San Juan"]
termination_date: DATE | NULL | eg=["2019-04-24", "2024-05-01"]
postal_code: TEXT | NULL | eg=["00757", "00911-2317"]
address_1: TEXT | NULL | eg=["Road  #545, Km 0.3", "227 Calle Betances"]
country: TEXT | NULL | eg=["United States"]
state: TEXT | NULL | eg=["PR"]
product_quantity: TEXT | NULL | eg=["1,010 cases (8 units ea)", "1999 units"]
report_date: DATE | NULL | eg=["2018-11-14", "2024-01-17"]
voluntary_mandated: TEXT | NULL | eg=["Voluntary: Firm initiated"]
recall_number: TEXT | NULL | eg=["F-0372-2019", "F-0710-2024"]
classification: TEXT | NULL | eg=["Class II", "Class III"]

## GEO_CENSUS_BLOCKGROUPS.BLOCKGROUPS_06
mtfcc_feature_class_code: TEXT | MAF/TIGER feature class code (G5030) | eg=["G5030"]
internal_point_lat: FLOAT | Latitude of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=[33.8156456, 34.2138786]
internal_point_lon: FLOAT | Longitude of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=[-118.1091609, -118.4423484]
internal_point_geom: BINARY | Geographical representation of the block group's internal point, which is the point at or closest to the block group's geographic center | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00 \\xe0\\xff}\\xfc\\x86]\\xc0*\\x904\\x13g\\xe8@@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x07\\xdc\\xa9oO\\x9c]\\xc0:(\\xbc_`\\x1bA@')"]
state_fips_code: TEXT | Two digit FIPS code that uniquely identifies each state. See https://www.census.gov/geo/reference/ansi_statetables.html for more information State names and their corresponding FIPS codes are available as a BigQuery Public Dataset: `bigquery-public-data.census_utility.fips_codes_states` | eg=["06"]
