[TABLES]
## NOAA_PIFSC_METADATA.DCLDE_2020_1705_MINKE_DETECTIONS
detection_time_end_utc: NUMBER | NULL | eg=[1510100124000000, 1510100133000000]
latitude: FLOAT | NULL | eg=[21.79686167, 21.04848167]
longitude: FLOAT | NULL | eg=[-161.2750067, -152.62861]
detection_time_start_local: NUMBER | NULL | eg=[1510064108000000, 1510064113000000]
detection_time_start_utc: NUMBER | NULL | eg=[1510100108000000, 1510100113000000]
point: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xca\\xd5\\xd9\\xda\\xcc(d\\xc0\\x00\\x16\\\\ \\xff\\xcb5@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\t\\xfe\\xb7\\x92\\x1d\\x14c\\xc0\\x00\\x1bsKi\\x0c5@')"]

## NOAA_PIFSC_METADATA.DCLDE_2020_SPECIES_LOOKUP
common_name: TEXT | NULL | eg=["Unidentified small whale", "Killer whale"]
species_name: TEXT | NULL | eg=["Orcinus orca", "Kogia breviceps"]
code: TEXT | NULL | eg=["78", "37"]

## NOAA_PIFSC_METADATA.DCLDE_2020_1706_ODONTOCETE_DETECTIONS
detection_time_end_utc: NUMBER | NULL | eg=[1500789944000000, 1504545890000000]
sighting_number: NUMBER | NULL | eg=[32, 113]
detection_distance: NUMBER | NULL | eg=[NaN, 3798.0]
beam_time_utc: NUMBER | NULL | eg=[NaN, 1504543582000000.0]
first_angle: NUMBER | NULL | eg=[121, 42]
latitude: FLOAT | NULL | eg=[24.83563167, 20.66195]
species2_id: TEXT | NULL
detection_time_start_local: NUMBER | NULL | eg=[1500751112000000, 1504506404000000]
longitude: FLOAT | NULL | eg=[-171.80022, -157.8127417]
point: BINARY | NULL | eg=["bytearray(b'\\x01\\x01\\x00\\x00\\x00]3\\xf9f\\x9bye\\xc0\\xe1&\\x06\\xf5\\xeb\\xd58@')", "bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x0e\\xb3\\xe1\\xfa\\x01\\xbac\\xc0S\\x96!\\x8eu\\xa94@')"]
detection_time_start_utc: NUMBER | NULL | eg=[1500787112000000, 1504542404000000]
species3_id: TEXT | NULL
first_distance: NUMBER | NULL | eg=[NaN, 3460.0]
acoustic_detection_number: TEXT | NULL | eg=["80", "253"]
beam_distance: NUMBER | NULL | eg=[NaN, 250.0]
species1_id: TEXT | NULL | eg=["2", "13"]

## NOAA_PIFSC_METADATA.DCLDE_2020_1705_VISUAL_SIGHTINGS
effort: TEXT | NULL | eg=["ON"]
sighting_number: TEXT | NULL | eg=["21", "33"]
longitude: FLOAT | NULL | eg=[-154.756, -156.258]
latitude: FLOAT | NULL | eg=[19.646, 19.168]
