[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
demo__demographic_id: TEXT | GDC-assigned identifier for a case's demographic data.
demo__ethnicity: TEXT | An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
demo__gender: TEXT | Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. [Explanatory Comment 1: Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.]
demo__race: TEXT | An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
demo__state: TEXT | The current state of the object.
demo__vital_status: TEXT | The survival state of the person registered on the protocol.
demo__year_of_birth: NUMBER | Numeric value to represent the calendar year in which an individual was born.
demo__year_of_death: NUMBER | Numeric value to represent the year of the death of an individual.
diag__age_at_diagnosis: NUMBER | Age at the time of diagnosis expressed in number of days since birth.
diag__ajcc_clinical_m: TEXT | Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__ajcc_clinical_n: TEXT | Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__ajcc_clinical_stage: TEXT | Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.
diag__ajcc_clinical_t: TEXT | Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__ajcc_pathologic_m: TEXT | Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).
diag__ajcc_pathologic_n: TEXT | The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.
diag__ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.
diag__ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).
diag__ajcc_staging_system_edition: TEXT | The text term used to describe the version or edition of the American Joint Committee on Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.
diag__ann_arbor_clinical_stage: TEXT | The text term used to describe the clinical classification of lymphoma, as defined by the Ann Arbor Lymphoma Staging System.
diag__figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages.
diag__icd_10_code: TEXT | Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10).
diag__igcccg_stage: TEXT | The text term used to describe the International Germ Cell Cancer Collaborative Group (IGCCCG), a grouping used to further classify metastatic testicular tumors.
diag__masaoka_stage: TEXT | The text term used to describe the Masaoka staging system, a classification that defines prognostic indicators for thymic malignancies and predicts tumor recurrence.
diag__morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data.
diag__primary_diagnosis: TEXT | Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__primary_gleason_grade: TEXT | The text term used to describe the primary Gleason score, which describes the pattern of cells making up the largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
diag__secondary_gleason_grade: TEXT | The text term used to describe the secondary Gleason score, which describes the pattern of cells making up the second largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
diag__site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__state: TEXT | The current state of the object.
diag__tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__treat__count: NUMBER | Total record count in clinical__diag__treat mapping table.
