[TABLES]
## GNOMAD.V2_1_1_EXOMES__CHR22
nonpar: BOOLEAN | Alternate allele frequency in samples of Latino ancestry in the non_topmed subset
controls_AN_eas_male: NUMBER | Count of homozygous individuals in male samples of Non-Finnish European ancestry in the non_topmed subset | eg=[0, 3744]
AN_asj_male: NUMBER | Count of homozygous individuals in female samples of African-American/African ancestry | eg=[2, 0]
call: VARIANT | Allele type (snv, ins, del, or mixed) | eg=[[]]
non_cancer_AN_sas_female: NUMBER | Count of homozygous individuals in samples of African-American/African ancestry | eg=[0, 6990]
non_topmed_AN_asj_female: NUMBER | Alternate allele frequency in samples of South Asian ancestry in the non_topmed subset | eg=[2, 4446]
non_topmed_AN_afr_female: NUMBER | Alternate allele frequency in samples of North-Western European ancestry | eg=[2, 0]
non_cancer_AN_eas_jpn: NUMBER | Alternate allele frequency in male samples of Latino ancestry in the non_cancer subset | eg=[0, 100]
non_topmed_AN_raw: NUMBER | Alternate allele count for samples of African-American/African ancestry in the non_neuro subset | eg=[34956, 31128]
AN_nfe_male: NUMBER | Count of homozygous individuals in female samples of Non-Finnish European ancestry in the controls subset | eg=[198, 206]
AN_nfe_swe: NUMBER | Alternate allele count for samples of African-American/African ancestry in the controls subset | eg=[0, 4]
controls_AN_asj_female: NUMBER | Count of homozygous individuals in samples of Ashkenazi Jewish ancestry in the controls subset | eg=[0, 1056]
controls_AN_sas_male: NUMBER | Count of homozygous individuals in samples of North-Western European ancestry | eg=[0, 10414]
controls_AN_nfe: NUMBER | Alternate allele frequency in samples of African-American/African ancestry in the controls subset | eg=[2, 4]
non_cancer_AN_oth: NUMBER | Count of homozygous individuals in female samples of Non-Finnish European ancestry in the non_neuro subset | eg=[10, 5306]
controls_AN_asj: NUMBER | Alternate allele count for samples of Japanese ancestry in the non_neuro subset | eg=[0, 2044]
MQRankSum: FLOAT | Count of DP values falling above highest histogram bin edge | eg=[0.39, 0.496]
non_topmed_AN_fin_female: NUMBER | Count of homozygous individuals in female samples of Non-Finnish European ancestry in the non_cancer subset | eg=[0, 2]
controls_AN_female: NUMBER | Alternate allele count for samples of Ashkenazi Jewish ancestry in the non_cancer subset | eg=[2, 47240]
non_cancer_AN_nfe_male: NUMBER | Alternate allele count for samples of Southern European ancestry in the non_cancer subset | eg=[198, 200]
non_topmed_AN_asj_male: NUMBER | Alternate allele count for female samples of Other ancestry in the controls subset | eg=[2, 0]
non_neuro_AN_sas_female: NUMBER | Alternate allele frequency in samples of Finnish ancestry in the non_neuro subset | eg=[0, 7026]
non_topmed_AN_sas_female: NUMBER | Alternate allele count for samples of Southern European ancestry in the controls subset | eg=[0, 7026]
controls_AN_male: NUMBER | Count of homozygous individuals in female samples of East Asian ancestry | eg=[0, 2]
AN_asj_female: NUMBER | Alternate allele frequency in male samples of Ashkenazi Jewish ancestry | eg=[2, 4484]
non_cancer_AN_fin: NUMBER | Alternate allele frequency in samples of Ashkenazi Jewish ancestry in the non_cancer subset | eg=[0, 2]
controls_AN_amr_male: NUMBER | Alternate allele frequency in samples of Latino ancestry in the non_neuro subset | eg=[0, 6350]
non_topmed_AN_nfe_male: NUMBER | Alternate allele count for samples of Other Non-Finnish European ancestry in the non_cancer subset | eg=[196, 204]
non_topmed_AN_nfe_swe: NUMBER | Alternate allele frequency in samples of Latino ancestry | eg=[0, 4]
non_cancer_AN: NUMBER | Alternate allele count for female samples of Non-Finnish European ancestry in the non_cancer subset | eg=[366, 362]
non_cancer_AN_eas_oea: NUMBER | Alternate allele count for samples of Swedish ancestry | eg=[0, 12234]
start_position: NUMBER | Start position (0-based). Corresponds to the first base of the string of reference bases. | eg=[49176191, 49176064]
controls_AN_amr: NUMBER | Count of homozygous individuals in female samples of East Asian ancestry in the non_neuro subset | eg=[0, 15734]
transmitted_singleton: BOOLEAN | Alternate allele count for samples, before removing low-confidence genotypes
AN_eas_kor: NUMBER | Alternate allele count for male samples of Finnish ancestry in the non_cancer subset | eg=[0, 3718]
AN_amr: NUMBER | Count of homozygous individuals in female samples in the non_cancer subset | eg=[0, 31728]
non_neuro_AN_nfe_nwe: NUMBER | Count of homozygous individuals in female samples of Latino ancestry in the non_topmed subset | eg=[6, 8]
controls_AN_nfe_bgr: NUMBER | Alternate allele frequency in samples of Ashkenazi Jewish ancestry in the controls subset | eg=[0, 652]
non_cancer_AN_male: NUMBER | Count of homozygous individuals in male samples of African-American/African ancestry | eg=[202, 206]
controls_AN_eas: NUMBER | Count of homozygous individuals in samples of East Asian ancestry in the non_cancer subset | eg=[0, 7880]
non_neuro_AN_nfe_onf: NUMBER | Count of homozygous individuals in male samples of Latino ancestry in the non_cancer subset | eg=[4, 18]
controls_AN_nfe_swe: NUMBER | Alternate allele count for male samples of African-American/African ancestry in the non_neuro subset | eg=[0, 2]
BaseQRankSum: FLOAT | Count of homozygous individuals in samples of Southern European ancestry | eg=[-0.731, 2.4]
non_cancer_AN_sas_male: NUMBER | Count of homozygous individuals in samples of Swedish ancestry | eg=[0, 21178]
non_topmed_AN_female: NUMBER | Alternate allele count for male samples in the non_topmed subset | eg=[178, 184]
non_topmed_AN_eas_female: NUMBER | Count of homozygous individuals in male samples in the non_topmed subset | eg=[6, 4]
non_topmed_AN_eas_oea: NUMBER | Alternate allele frequency in male samples of Non-Finnish European ancestry in the non_topmed subset | eg=[6, 4]
decoy: BOOLEAN | Alternate allele count for samples of Latino ancestry in the non_topmed subset
reference_bases: TEXT | Reference bases. | eg=["G", "C"]
non_topmed_AN_eas_kor: NUMBER | Alternate allele count for samples of Latino ancestry in the non_neuro subset | eg=[0, 3718]
non_neuro_AN_oth_female: NUMBER | Alternate allele count for female samples of South Asian ancestry in the controls subset | eg=[0, 2192]
non_cancer_AN_amr_male: NUMBER | Alternate allele count for female samples of Latino ancestry in the non_topmed subset | eg=[0, 13110]
non_neuro_AN_nfe_female: NUMBER | Count of homozygous individuals in male samples in the non_cancer subset | eg=[16, 22]
controls_AN_eas_jpn: NUMBER | Alternate allele frequency in female samples of South Asian ancestry in the non_cancer subset | eg=[0, 90]
rf_tp_probability: FLOAT | Maximum p-value over callset for binomial test of observed allele balance for a heterozygous genotype, given expectation of AB=0.5 | eg=[0.543504, 0.430347]
controls_AN_raw: NUMBER | Alternate allele frequency in female samples of Other ancestry in the non_topmed subset | eg=[13968, 12218]
non_cancer_AN_afr_female: NUMBER | Count of homozygous individuals in samples in the controls subset, before removing low-confidence genotypes | eg=[0, 8522]
controls_AN_sas_female: NUMBER | Count of homozygous individuals in samples of Other Non-Finnish European ancestry | eg=[0, 3916]
AN_nfe_onf: NUMBER | Count of homozygous individuals in female samples of African-American/African ancestry in the non_neuro subset | eg=[126, 136]
non_topmed_AN_nfe_bgr: NUMBER | Count of homozygous individuals in male samples of Ashkenazi Jewish ancestry | eg=[0, 2528]
