[COMPONENTS]
@C1
AA_MAF: TEXT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
AFR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
all_effects: TEXT | A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])
Allele: TEXT | The variant allele used to calculate the consequence
ALLELE_NUM: TEXT | Allele number from input; 0 is reference, 1 is first alternate etc.
Amino_acids: TEXT | Amino acid substitution caused by the mutation. Only given if the variation affects the protein-coding sequence
AMR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
BIOTYPE: TEXT | Biotype of transcript
callerName: TEXT | |-delimited list of mutation caller(s) that agreed on this particular call, always in alphabetical order: muse, mutect, somaticsniper, varscan
CANONICAL: TEXT | A flag (YES) indicating that the VEP-based canonical transcript, the longest translation, was used for this gene. If not, the value is null
CCDS: TEXT | The  CCDS identifier for this transcript, where applicable
cDNA_position: TEXT | Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
Center: TEXT | One or more genome sequencing center reporting the variant
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
Codons: TEXT | The alternative codons with the variant base in upper case
Consequence: TEXT | Consequence type of this variant;   sequence ontology terms
CONTEXT: TEXT | The reference allele per VCF specs, and its five flanking base pairs
COSMIC: TEXT | Overlapping COSMIC variants
dbSNP_RS: TEXT | The rs-IDs from the   dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases
dbSNP_Val_Status: TEXT | The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple
DISTANCE: NUMBER | Shortest distance from the variant to transcript
DOMAINS: TEXT | The source and identifier of any overlapping protein domains
EA_MAF: TEXT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
EAS_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
ENSP: TEXT | The Ensembl protein identifier of the affected transcript
Entrez_Gene_Id: NUMBER | Entrez gene ID (an integer). 0 is used for regions that do not correspond to a gene region or Ensembl ID
EUR_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
ExAC_AF: TEXT | Global Allele Frequency from ExAC
ExAC_AF_Adj: TEXT | Adjusted Global Allele Frequency from ExAC
ExAC_AF_AFR: TEXT | African/African American Allele Frequency from ExAC
ExAC_AF_AMR: TEXT | American Allele Frequency from ExAC
ExAC_AF_EAS: TEXT | East Asian Allele Frequency from ExAC
ExAC_AF_FIN: TEXT | Finnish Allele Frequency from ExAC
ExAC_AF_NFE: TEXT | Non-Finnish European Allele Frequency from ExAC
ExAC_AF_OTH: TEXT | Other Allele Frequency from ExAC
ExAC_AF_SAS: TEXT | South Asian Allele Frequency from ExAC
Existing_variation: TEXT | Known identifier of existing variation
EXON: TEXT | The exon number (out of total number)
Exon_Number: TEXT | The exon number (out of total number)
Feature: TEXT | Stable Ensembl ID of feature (transcript, regulatory, motif)
Feature_type: TEXT | Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (or blank)
FILTER: TEXT | Copied from input VCF. This includes filters implemented directly by the variant caller and other external software used in the DNA-Seq pipeline. See below for additional details.
GDC_FILTER: TEXT | GDC filters applied universally across all MAFs
GDC_Validation_Status: TEXT | GDC implementation of validation checks. See notes section (#5) below for details
GMAF: FLOAT | Non-reference allele and frequency of existing variant in   1000 Genomes
HGNC_ID: TEXT | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
HGVS_OFFSET: NUMBER | Indicates by how many bases the HGVS notations for this variant have been shifted
HGVSc: TEXT | The coding sequence of the variant in HGVS recommended format
HGVSp: TEXT | The protein sequence of the variant in HGVS recommended format. p.= signifies no change in the protein
HGVSp_Short: TEXT | Same as the HGVSp column, but using 1-letter amino-acid codes
Hugo_Symbol: TEXT | HUGO symbol for the gene (HUGO symbols are always in all caps). Unknown is used for regions that do not correspond to a gene
IMPACT: TEXT | The impact modifier for the consequence type
INTRON: TEXT | The intron number (out of total number)
MC3_Overlap: TEXT | Indicates whether this region overlaps with an MC3 variant for the same sample pair
MINIMISED: TEXT | Alleles in this variant have been converted to minimal representation before consequence calculation (1 or null)
Mutation_Status: TEXT | An assessment of the mutation as somatic, germline, LOH, post transcriptional modification, unknown, or none. The values allowed in this field are constrained by the value in the Validation_Status field
n_depth: TEXT | Read depth across this locus in normal BAM
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh38)
PHENO: TEXT | Indicates if existing variant is associated with a phenotype, disease or trait (0, 1, or null)
PICK: TEXT | Indicates if this block of consequence data was picked by VEP's   pick feature (1 or null)
PolyPhen: TEXT | The PolyPhen prediction and/or score
Protein_position: TEXT | Relative position of affected amino acid in protein. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
PUBMED: TEXT | Pubmed ID(s) of publications that cite existing variant
Reference_Allele: TEXT | The plus strand reference allele at this position. Includes the deleted sequence for a deletion or - for an insertion
RefSeq: TEXT | RefSeq identifier for this transcript
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
sample_barcode_tumor: TEXT | TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
SAS_MAF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
Sequencer: TEXT | Instrument used to produce primary sequence data
SIFT: TEXT | The   SIFT prediction and/or score, with both given as prediction (score)
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
t_alt_count: TEXT | Read depth supporting the variant allele in tumor BAM
t_depth: TEXT | Read depth across this locus in tumor BAM
t_ref_count: TEXT | Read depth supporting the reference allele in tumor BAM
Transcript_ID: TEXT | Ensembl ID of the transcript affected by the variant
TRANSCRIPT_STRAND: NUMBER | The DNA strand (1 or -1) on which the transcript/feature lies
TREMBL: TEXT | UniProtKB/TrEMBL identifier of protein product
TSL: NUMBER | Transcript support level, which is based on independent RNA analyses
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Tumor_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
UNIPARC: TEXT | UniParc identifier of protein product
Validation_Method: TEXT | The assay platforms used for the validation call
VARIANT_CLASS: TEXT | Sequence Ontology variant class
Variant_Classification: TEXT | Translational effect of variant allele
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)

@C2
age_at_diagnosis: NUMBER | NULL
anatomic_neoplasm_subdivision: TEXT | NULL
bmi: FLOAT | NULL
clinical_M: TEXT | NULL
clinical_N: TEXT | NULL
clinical_stage: TEXT | NULL
clinical_T: TEXT | NULL
colorectal_cancer: TEXT | NULL
country: TEXT | NULL
days_to_birth: NUMBER | NULL
days_to_death: NUMBER | NULL
days_to_initial_pathologic_diagnosis: NUMBER | NULL
days_to_last_followup: NUMBER | NULL
days_to_last_known_alive: NUMBER | NULL
ethnicity: TEXT | NULL
gender: TEXT | NULL
h_pylori_infection: TEXT | NULL
histological_type: TEXT | NULL
history_of_colon_polyps: TEXT | NULL
history_of_neoadjuvant_treatment: TEXT | NULL
hpv_calls: TEXT | NULL
hpv_status: TEXT | NULL
icd_10: TEXT | NULL
icd_o_3_histology: TEXT | NULL
icd_o_3_site: TEXT | NULL
lymphatic_invasion: TEXT | NULL
lymphnodes_examined: TEXT | NULL
lymphovascular_invasion_present: TEXT | NULL
menopause_status: TEXT | NULL
mononucleotide_and_dinucleotide_marker_panel_analysis_status: TEXT | NULL
neoplasm_histologic_grade: TEXT | NULL
number_of_lymphnodes_examined: NUMBER | NULL
other_dx: TEXT | NULL
other_malignancy_anatomic_site: TEXT | NULL
other_malignancy_histological_type: TEXT | NULL
other_malignancy_type: TEXT | NULL
pathologic_M: TEXT | NULL
pathologic_N: TEXT | NULL
pathologic_stage: TEXT | NULL
pathologic_T: TEXT | NULL
person_neoplasm_cancer_status: TEXT | NULL
pregnancies: TEXT | NULL
primary_neoplasm_melanoma_dx: TEXT | NULL
primary_therapy_outcome_success: TEXT | NULL
race: TEXT | NULL
residual_tumor: TEXT | NULL
stopped_smoking_year: NUMBER | NULL
tobacco_smoking_history: NUMBER | NULL
tss_code: TEXT | NULL
tumor_tissue_site: TEXT | NULL
tumor_type: TEXT | NULL
venous_invasion: TEXT | NULL
vital_status: TEXT | NULL
year_of_tobacco_smoking_onset: NUMBER | NULL

@C3
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe

@C4
case_id: TEXT | Unique GDC identifier for the case
fileName: TEXT | |-delimited list of name of underlying MAF file
fileUUID: TEXT | |-delimited list of unique GDC identifier for underlying MAF file
Matched_Norm_Sample_UUID: TEXT | Unique GDC identifier for normal aliquot (10189 unique)
normal_bam_uuid: TEXT | Unique GDC identifier for the underlying normal bam file
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
src_vcf_id: TEXT | |-delimited list of GDC VCF file identifiers
tumor_bam_uuid: TEXT | Unique GDC identifier for the underlying tumor bam file
Tumor_Sample_UUID: TEXT | Unique GDC identifier for tumor aliquot (10189 unique)

@C5
ASN_MAF: TEXT | Non-reference allele and frequency of existing variant in 1000 Genomes combined Asian population
BAM_File: TEXT | Name of the bam file. Not in use in this table.
GENE_PHENO: TEXT | Indicates if gene that the variant maps to is associated with a phenotype, disease or trait (0, 1, or null)
HIGH_INF_POS: TEXT | A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (Y, N, or null)
Match_Norm_Seq_Allele1: TEXT | Primary data genotype. Matched normal sequencing allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
Match_Norm_Seq_Allele2: TEXT | Matched normal sequencing allele 2
Match_Norm_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
Match_Norm_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 2 (cleared in somatic MAF)
MOTIF_NAME: TEXT | The source and identifier of a transcription factor binding profile aligned at this position
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
n_ref_count: TEXT | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
Score: TEXT | Not in use
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
